symbol,entry_date,exit_date_x0,ret_x0,hold_x0,why_x0,peak_gain_x0,closed_x0,exit_date_win,ret_win,hold_win,why_win,peak_gain_win,closed_win,exit_date_winbs,ret_winbs,hold_winbs,why_winbs,peak_gain_winbs,closed_winbs,d_ret_win,d_ret_winbs,kept_x0,kept_win
TEJASNET,2021-01-01,2022-02-23,1.970391571629448,284,ma150,2.8591973601058718,True,2021-03-18,0.2328489538137497,52,ratchet,0.5533384791665668,True,2021-03-18,0.2328489538137497,52,ratchet,0.5533384791665668,True,-1.7375426178156983,-1.7375426178156983,0.689141504927973,0.42080744893155564
BORORENEW,2021-01-01,2022-05-12,0.9883958654769633,335,ma150,1.7352896239400688,True,2022-11-22,0.8236157742318835,467,ratchet,1.7352896239400688,True,2022-05-12,0.9883958654769633,335,ma150_backstop,1.7352896239400688,True,-0.16478009124507986,0.0,0.5695855330666688,0.47462726847972464
SUBEXLTD,2021-01-01,2021-09-23,0.7766512723366388,179,ma150,1.498240463397762,True,2021-03-26,0.1877298488909105,58,ratchet,0.3611103214374014,True,2021-03-26,0.1877298488909105,58,ratchet,0.3611103214374014,True,-0.5889214234457283,-0.5889214234457283,0.5183755820980311,0.5198684106941361
DHANI,2021-01-01,2021-03-16,-0.1342654264399744,50,ma150,0.21978701765135455,True,2025-10-27,-0.8400057645533189,1194,open_at_end,0.21978701765135455,False,2021-03-16,-0.1342654264399744,50,ma150_backstop,0.21978701765135455,True,-0.7057403381133445,0.0,-0.610888795319831,-3.821908015903877
JISLJALEQS,2021-02-01,2021-04-15,-0.15423120105941956,49,ma150,0.20912022109626904,True,2021-08-23,0.2665582296944571,137,ratchet,0.6721364962382927,True,2021-04-15,-0.15423120105941956,49,ma150_backstop,0.20912022109626904,True,0.42078943075387665,0.0,-0.7375240914096912,0.39658347848433767
IFBIND,2021-02-01,2021-04-26,-0.28711924781419473,55,ma150,0.02529319931239593,True,2024-07-22,0.14873497508343014,859,ratchet,0.2555407537532697,True,2021-04-26,-0.28711924781419473,55,ma150_backstop,0.02529319931239593,True,0.4358542228976249,0.0,-11.351638211836674,0.5820401360600083
TRIDENT,2021-02-01,2022-05-05,2.4954403906962703,310,ma150,3.6642110967069295,True,2021-05-18,0.12778223621485552,70,ratchet,0.26208064969716904,True,2021-05-18,0.12778223621485552,70,ratchet,0.26208064969716904,True,-2.367658154481415,-2.367658154481415,0.6810307389055594,0.48756837394331215
JPASSOCIAT,2021-02-01,2021-08-18,0.22800283845618763,135,ma150,1.174285404672267,True,2021-03-12,0.1460196944115273,28,ratchet,0.29338520856710404,True,2021-03-12,0.1460196944115273,28,ratchet,0.29338520856710404,True,-0.08198314404466034,-0.08198314404466034,0.19416305231164926,0.4977063946907507
KELLTONTEC,2021-02-01,2021-04-20,-0.1192888254564799,52,ma150,0.1552786521885372,True,2022-02-02,0.4136613234177027,249,ratchet,0.764611463431341,True,2021-04-20,-0.1192888254564799,52,ma150_backstop,0.1552786521885372,True,0.5329501488741826,0.0,-0.7682242457362461,0.5410085294318214
GPIL,2021-02-01,2021-11-15,1.370940397750589,194,ma150,2.641885936625028,True,2021-08-27,1.2184233148016856,141,ratchet,2.641885936625028,True,2021-08-27,1.2184233148016856,141,ratchet,2.641885936625028,True,-0.15251708294890332,-0.15251708294890332,0.5189249008615209,0.4611945193811828
TATAELXSI,2021-02-01,2022-10-13,1.9277633901294453,421,ma150,2.752615474103019,True,2022-11-24,1.3452285596448124,449,ratchet,2.752615474103019,True,2022-10-13,1.9277633901294453,421,ma150_backstop,2.752615474103019,True,-0.582534830484633,0.0,0.7003387898767938,0.48870921939548245
AFFLE,2021-03-01,2021-06-22,-0.132359540788768,75,ma150,0.12187336343251154,True,2022-01-25,0.18480638012514405,224,ratchet,0.38873648709975517,True,2021-06-22,-0.132359540788768,75,ma150_backstop,0.12187336343251154,True,0.31716592091391205,0.0,-1.086041584977371,0.47540271175450577
VAIBHAVGBL,2021-03-01,2021-08-23,0.01722243602365925,117,ma150,0.4031005255644051,True,2021-03-19,0.090517665189765,13,ratchet,0.3168479227738652,True,2021-03-19,0.090517665189765,13,ratchet,0.3168479227738652,True,0.07329522916610576,0.07329522916610576,0.04272491582476874,0.2856817377791919
HINDCOPPER,2021-03-01,2021-08-12,-0.1620721213175308,111,ma150,0.20474021634356565,True,2024-10-28,0.7911771414082143,907,ratchet,1.5429511229695092,True,2021-08-12,-0.1620721213175308,111,ma150_backstop,0.20474021634356565,True,0.9532492627257451,0.0,-0.7915988573811245,0.5127687647587583
ATGL,2021-03-01,2021-07-22,0.5512609192270923,96,ma150,2.127082351266341,True,2021-06-30,0.9397121163220892,81,ratchet,2.127082351266341,True,2021-06-30,0.9397121163220892,81,ratchet,2.127082351266341,True,0.38845119709499687,0.38845119709499687,0.2591629416223136,0.44178454856843663
