cell,n,win,exp,med,closed90,avgw,avgl,medhold,yr_exp_p10,yr_exp_p50,yr_win_p10,yr_neg,yr_win_under40,ride
X1 A=15 k=65 +ma150,1828,56.072210065645514,6.796567831525527,7.524294913569651,86.05032822757111,24.898856243617264,-16.31033829847949,41.0,-1.7709422372816122,4.953612749599088,44.0,18.62,3.2800000000000002,70.23234135667396
X1 A=15 k=50 +ma150,1828,55.19693654266958,10.351574277744986,4.9427891963449655,78.06345733041576,31.778791930995737,-16.046548569788605,50.0,-1.3665035315392815,7.155294168026916,44.0,15.459999999999999,4.1000000000000005,68.9123194748359
X7 N=42 Y=5 / A=25 k=60 +ma150,1828,50.87527352297593,7.058238432700844,0.36230612640312243,90.70021881838073,26.487651012413206,-13.063536287936675,43.0,-1.795003441867033,5.270874669534979,40.0,17.64,9.74,64.64536105032822
X2 A=15 m=3 +ma150,1828,50.0,7.566980770106175,-0.007991902423698516,78.99343544857767,30.118623636337617,-14.984662096125259,54.0,-1.1897001269992642,6.687219430068042,36.0,14.56,11.04,61.51737417943107
X4 Y=10 N=42 +ma150,1828,49.945295404814004,10.402154309514495,-0.003280378367820358,82.4945295404814,33.99853764043605,-13.142652227241111,43.0,-2.1842537620053886,7.720342383935103,36.0,18.52,11.42,58.71310722100656
X4 Y=10 N=63 +ma150,1828,47.921225382932164,12.72726385652484,-1.497029097089314,76.2582056892779,42.400891398680315,-14.577460646550994,64.0,-1.319706733364732,9.697936352525847,36.0,13.320000000000002,15.8,57.204507658643315
X3 N=63 +ma150,1828,46.93654266958425,8.111110613312396,-1.7333995528852508,83.64332603938732,33.744376730609225,-14.562438179100676,64.0,-1.287858996714195,7.119934405110064,32.0,14.12,19.259999999999998,56.64387308533918
X4 Y=5 N=42 +ma150,1828,47.75711159737418,11.825580096929423,-0.6678746056501317,76.85995623632385,38.696731330509095,-12.738309983609906,43.0,-1.4657868258087496,9.090732157786341,36.0,14.74,16.04,55.74109409190372
X3 N=42 +ma150,1828,46.389496717724285,7.144587101322494,-1.5737355479632342,90.04376367614879,30.037658656442872,-12.664927876985752,43.0,-1.7171173920801464,5.958676206238447,32.0,16.98,22.08,54.38700218818381
X1 A=25 k=65 +ma150,1828,47.155361050328224,8.804832347426087,-2.5924311912552342,74.72647702407002,36.10204416103377,-15.553549208815957,57.0,-1.3884703806462342,7.1037788335847845,36.0,14.760000000000002,17.68,53.445951859956224
X8 A=25 k=60/75 +ma150,1828,47.21006564551422,7.721249937942629,-2.549655702708825,75.21881838074398,33.74576252764437,-15.552485155231047,57.0,-1.3088331379541422,6.6071692050421635,36.0,15.0,17.78,53.40759299781182
X1 A=25 k=50 +ma150,1828,47.10065645514223,12.329188241220873,-2.5924311912552342,67.45076586433261,43.62848577651073,-15.539162511503605,64.0,-0.8341166499630995,9.603785842725399,36.0,12.64,18.279999999999998,52.30096280087527
X2 A=25 m=3 +ma150,1828,46.225382932166305,8.461343702620693,-2.8141880297252286,71.44420131291028,36.206317427106946,-15.388608278244897,63.0,-0.916388180257823,7.603602678602603,32.0,12.76,20.76,51.66306345733041
X4 Y=5 N=63 +ma150,1828,46.115973741794306,13.334295138845759,-1.987981824064844,70.78774617067833,45.49172189077677,-14.187238619405859,64.0,-1.0832976661265215,10.513643424286663,32.0,12.98,20.68,51.11107221006563
X9 N=21 Z=15 k=65 +ma150,1828,44.47483588621444,7.88221306734489,-4.2400142369761085,77.84463894967178,35.30216140527552,-14.08076033042614,48.0,-1.6781904504774834,6.089280205098399,32.0,16.1,26.779999999999998,46.12269146608316
