symbol,rows,status,first,last,calendar_days,max_gap_days
360ONE,1063,OK,2019-09-19,2023-12-29,1562,5
3MINDIA,3671,OK,2009-03-05,2023-12-29,5412,6
AADHARHFC,0,EMPTY-marker,,,0,0
AARTIDRUGS,3672,OK,2009-03-05,2023-12-29,5412,6
AARTIIND,3672,OK,2009-03-05,2023-12-29,5412,6
AARTIPHARM,227,OK,2023-01-30,2023-12-29,333,4
AAVAS,1296,OK,2018-10-08,2023-12-29,1908,5
ABBOTINDIA,3468,OK,2010-01-08,2023-12-29,5103,6
ABB,3673,OK,2009-03-05,2023-12-29,5412,6
ABCAPITAL,1568,OK,2017-09-01,2023-12-29,2310,5
ABDL,0,EMPTY-marker,,,0,0
ABFRL,2582,OK,2013-07-22,2023-12-29,3812,6
ABLBL,0,EMPTY-marker,,,0,0
ABREL,0,EMPTY-marker,,,0,0
ABSLAMC,551,OK,2021-10-11,2023-12-29,809,5
ACC,3673,OK,2009-03-05,2023-12-29,5412,6
ACE,3673,OK,2009-03-05,2023-12-29,5412,6
ACI,276,OK,2022-11-21,2023-12-29,403,4
ACMESOLAR,0,EMPTY-marker,,,0,0
ACUTAAS,0,EMPTY-marker,,,0,0
ADANIENSOL,2083,OK,2015-07-31,2023-12-29,3073,5
ADANIENT,3673,OK,2009-03-05,2023-12-29,5412,6
ADANIGREEN,1371,OK,2018-06-18,2023-12-29,2020,5
ADANIPORTS,3668,OK,2009-03-05,2023-12-29,5412,8
ADANIPOWER,3561,OK,2009-08-20,2023-12-29,5244,6
ADVENZYMES,1837,OK,2016-08-01,2023-12-29,2706,5
AEGISLOG,0,EMPTY-marker,,,0,0
AEGISVOPAK,0,EMPTY-marker,,,0,0
AEQUS,0,EMPTY-marker,,,0,0
AETHER,391,OK,2022-06-03,2023-12-29,574,4
AFCONS,0,EMPTY-marker,,,0,0
AFFLE,1089,OK,2019-08-08,2023-12-29,1604,5
AGARWALEYE,0,EMPTY-marker,,,0,0
AHLUCONT,3482,OK,2009-12-14,2023-12-29,5128,6
AIAENG,3670,OK,2009-03-05,2023-12-29,5412,6
AIIL,0,EMPTY-marker,,,0,0
AJANTPHARM,3673,OK,2009-03-05,2023-12-29,5412,6
AKUMS,0,EMPTY-marker,,,0,0
AKZOINDIA,3672,OK,2009-03-05,2023-12-29,5412,6
ALIVUS,0,EMPTY-marker,,,0,0
ALKEM,1986,OK,2015-12-23,2023-12-29,2928,5
ALKYLAMINE,3538,OK,2009-03-05,2023-12-29,5412,9
ALOKINDS,958,OK,2020-02-19,2023-12-29,1409,5
AMBER,1465,OK,2018-01-30,2023-12-29,2159,5
AMBUJACEM,3673,OK,2009-03-05,2023-12-29,5412,6
ANANDRATHI,508,OK,2021-12-14,2023-12-29,745,5
ANANTRAJ,3672,OK,2009-03-05,2023-12-29,5412,6
ANGELONE,804,OK,2020-10-05,2023-12-29,1180,5
ANTHEM,0,EMPTY-marker,,,0,0
ANUP,1196,OK,2019-03-01,2023-12-29,1764,5
ANURAS,686,OK,2021-03-24,2023-12-29,1010,5
APARINDS,3672,OK,2009-03-05,2023-12-29,5412,6
APLAPOLLO,2976,OK,2011-12-21,2023-12-29,4391,6
APLLTD,3042,OK,2011-09-20,2023-12-29,4483,6
APOLLOHOSP,3673,OK,2009-03-05,2023-12-29,5412,6
APOLLOTYRE,3673,OK,2009-03-05,2023-12-29,5412,6
APOLLO,1470,OK,2018-01-22,2023-12-29,2167,5
APTUS,584,OK,2021-08-24,2023-12-29,857,5
ARE&M,3673,OK,2009-03-05,2023-12-29,5412,6
ARVINDFASN,1192,OK,2019-03-08,2023-12-29,1757,5
ARVIND,3673,OK,2009-03-05,2023-12-29,5412,6
ASAHIINDIA,3672,OK,2009-03-05,2023-12-29,5412,6
ASHAPURMIN,3672,OK,2009-03-05,2023-12-29,5412,6
ASHOKA,3273,OK,2010-10-14,2023-12-29,4824,6
ASHOKLEY,3673,OK,2009-03-05,2023-12-29,5412,6
ASIANPAINT,3673,OK,2009-03-05,2023-12-29,5412,6
ASKAUTOLTD,31,OK,2023-11-15,2023-12-29,44,4
ASTERDM,1447,OK,2018-02-26,2023-12-29,2132,5
ASTRAL,3670,OK,2009-03-05,2023-12-29,5412,6
ASTRAMICRO,3673,OK,2009-03-05,2023-12-29,5412,6
ASTRAZEN,3667,OK,2009-03-05,2023-12-29,5412,6
ATGL,1275,OK,2018-11-05,2023-12-29,1880,5
ATHERENERG,0,EMPTY-marker,,,0,0
ATLANTAELE,0,EMPTY-marker,,,0,0
ATUL,3673,OK,2009-03-05,2023-12-29,5412,6
AUBANK,1605,OK,2017-07-10,2023-12-29,2363,5
AURIONPRO,3559,OK,2009-03-05,2023-12-29,5412,13
AUROPHARMA,3673,OK,2009-03-05,2023-12-29,5412,6
AVALON,176,OK,2023-04-18,2023-12-29,255,4
AVANTIFEED,2158,OK,2015-04-16,2023-12-29,3179,5
AVL,0,EMPTY-marker,,,0,0
AWFIS,0,EMPTY-marker,,,0,0
AWL,469,OK,2022-02-08,2023-12-29,689,5
AXISBANK,3673,OK,2009-03-05,2023-12-29,5412,6
AXISCADES,3648,OK,2009-03-05,2023-12-29,5412,23
AZAD,2,OK,2023-12-28,2023-12-29,1,1
BAJAJ-AUTO,3673,OK,2009-03-05,2023-12-29,5412,6
BAJAJELEC,3673,OK,2009-03-05,2023-12-29,5412,6
BAJAJFINSV,3672,OK,2009-03-05,2023-12-29,5412,6
BAJAJHFL,0,EMPTY-marker,,,0,0
BAJAJHLDNG,3673,OK,2009-03-05,2023-12-29,5412,6
BAJFINANCE,3672,OK,2009-03-05,2023-12-29,5412,6
BALAMINES,3670,OK,2009-03-05,2023-12-29,5412,6
BALKRISIND,3671,OK,2009-03-06,2023-12-29,5411,6
BALRAMCHIN,3673,OK,2009-03-05,2023-12-29,5412,6
BALUFORGE,0,EMPTY-marker,,,0,0
BANCOINDIA,3672,OK,2009-03-05,2023-12-29,5412,6
BANDHANBNK,1427,OK,2018-03-27,2023-12-29,2103,5
BANKBARODA,3673,OK,2009-03-05,2023-12-29,5412,6
BANKINDIA,3673,OK,2009-03-05,2023-12-29,5412,6
BASF,3672,OK,2009-03-05,2023-12-29,5412,6
BATAINDIA,3673,OK,2009-03-05,2023-12-29,5412,6
BAYERCROP,3468,OK,2010-01-08,2023-12-29,5103,6
