company_name,effective_from,effective_to
Andhra Valley Power Supply Co. Ltd.,1996-09-17,1998-10-07
Arvind Mills Ltd,1996-09-17,1999-05-26
Brooke Bond Lipton India Ltd.,1996-09-17,1997-05-07
Cairn India Ltd.,2007-12-12,2016-04-01
Colgate Palmolive (I) Ltd,1996-09-17,2005-09-26
Digital Globalsoft Ltd.,2000-09-01,2004-04-12
Essar Gujarat Ltd.,1996-09-17,1997-12-24
GlaxoSmithkline Consumer Healthcare Ltd.,1998-10-07,2004-03-01
ICICI Ltd.,1996-09-17,2002-05-31
IDFC Ltd.,2009-10-22,2015-05-29
Indian Aluminium Co. Ltd.,1996-09-17,1996-09-18
Indian Petrochemicals Corporation Ltd.,1996-09-17,2007-10-05
Indian Rayon & Industries Ltd.,1996-09-17,1999-09-08
Indo Gulf Corporation Ltd.,1996-09-17,1998-10-07
Industrial Development Bank of India Limited,1996-09-17,2000-05-24
Industrial Finance Corporation Of India Ltd.,1996-09-17,1999-09-08
Jaiprakash Associates Ltd.,2009-10-22,2014-03-28
Jet Airways (India) Ltd.,2005-09-26,2007-04-04
Kochi Refineries Ltd.,1996-09-17,2002-01-17
Madras Refineries Ltd.,1996-09-17,1996-09-18
Nagarjuna Fertilizers & Chemicals Ltd.,1996-09-17,1996-09-18
Oriental Bank of Commerce,1996-09-17,2007-04-04
Ponds (India) Ltd.,1996-09-17,1998-10-07
Procter & Gamble India Ltd.,1998-10-07,2002-10-28
Ranbaxy Laboratories Ltd.,1996-09-17,2014-03-28
Reckitt Benckiser (India) Ltd,1999-05-26,2002-01-25
Reliance Capital Ltd.,1996-09-17,1999-05-26
Reliance Capital Ltd.,2009-01-12,2011-10-10
Reliance Petroleum Ltd.,1996-09-17,2002-10-10
Reliance Petroleum Ltd.,2007-04-04,2009-06-17
SCICI Ltd.,1996-09-17,1997-05-14
Satyam Computer Services Ltd.,1999-09-08,2009-01-12
Sterlite Industries (India) Ltd.,2007-04-04,2012-09-28
TVS Suzuki Ltd.,1996-09-17,2000-05-10
Tata Motors Ltd DVR,2016-04-01,2017-09-29
Tata Tea Limited,1996-09-17,2006-09-01
