event_date,scrip_name,action
1998-08-01,20th Century Finance Corporation Ltd.,in
1998-08-01,3M India Ltd.,in
1998-08-01,ABB India Ltd.,in
1998-08-01,ACC Ltd.,in
1998-08-01,AGC Networks Ltd.,in
1998-08-01,AP Paper Mills Ltd.,in
1998-08-01,APR Ltd.,in
1998-08-01,ATV Projects India Ltd.,in
1998-08-01,Aban Offshore Ltd.,in
1998-08-01,Abbott India Ltd.,in
1998-08-01,Adani Enterprises Ltd.,in
1998-08-01,Aditya Birla Nuvo Ltd.,in
1998-08-01,Ador Welding Ltd.,in
1998-08-01,Agro Tech Foods Ltd.,in
1998-08-01,Ahmednagar Forgings Ltd.,in
1998-08-01,Akzo Nobel India Ltd.,in
1998-08-01,Alembic Ltd.,in
1998-08-01,Alfa Laval (India) Ltd.,in
1998-08-01,Alpic Finance Ltd.,in
1998-08-01,Alpine Industries Ltd.,in
1998-08-01,Altos India Ltd.,in
1998-08-01,Ambalal Sarabhai Enterprises Ltd.,in
1998-08-01,Ambuja Cements Ltd.,in
1998-08-01,Amrut Industries Ltd.,in
1998-08-01,Andhra Valley Power Supply Co. Ltd.,in
1998-08-01,Apollo Hospitals Enterprises Ltd.,in
1998-08-01,Apollo Tyres Ltd.,in
1998-08-01,Apple Credit Corporation Ltd.,in
1998-08-01,Apple Finance Ltd.,in
1998-08-01,Aptech Ltd. (Erstwhile),in
1998-08-01,Arvind Ltd.,in
1998-08-01,Arvind Polycot Ltd.,in
1998-08-01,Ashok Leyland Finance Ltd.,in
1998-08-01,Ashok Leyland Ltd.,in
1998-08-01,Asian Coffee Ltd.,in
1998-08-01,Asian Electronics Ltd.,in
1998-08-01,Asian Hotels (North) Ltd.,in
1998-08-01,Asian Paints Ltd.,in
1998-08-01,Assam Company India Ltd.,in
1998-08-01,AstraZenca Pharma India Ltd.,in
1998-08-01,Atcom Technologies Ltd.,in
1998-08-01,Atlas Copco (India) Ltd.,in
1998-08-01,Atlas Cycle (Haryana) Ltd.,in
1998-08-01,Atul Ltd.,in
1998-08-01,Automotive Axles Ltd.,in
1998-08-01,Autoriders Finance Ltd.,in
1998-08-01,BASF India Ltd.,in
1998-08-01,BEML Ltd.,in
1998-08-01,BIL Industries Ltd.,in
1998-08-01,BPL Engineering Ltd.,in
1998-08-01,BPL Ltd.,in
1998-08-01,Bajaj Auto Ltd.,in
1998-08-01,Bajaj Finance Ltd.,in
1998-08-01,Bajaj Hindusthan Ltd.,in
1998-08-01,Bajaj Tempo Ltd.,in
1998-08-01,Balaji Distilleries Ltd.,in
1998-08-01,Ballarpur Industries Ltd.,in
1998-08-01,Balrampur Chini Mills Ltd.,in
1998-08-01,Bank of Baroda,in
1998-08-01,Bank of India,in
1998-08-01,Bannari Amman Sugars Ltd.,in
1998-08-01,Baroda Rayon Corporation Ltd.,in
1998-08-01,Bata India Ltd.,in
1998-08-01,Bayer Cropscience Ltd.,in
1998-08-01,Bell Ceramics Ltd.,in
1998-08-01,Berger Paints India Ltd.,in
1998-08-01,Bharat Bijlee Ltd.,in
1998-08-01,Bharat Electronics Ltd.,in
1998-08-01,Bharat Forge Ltd.,in
1998-08-01,Bharat Heavy Electricals Ltd.,in
1998-08-01,Bharat Petroleum Corporation Ltd.,in
1998-08-01,Bharti Telecom Ltd.-Suspended,in
1998-08-01,Binani Industries Ltd.,in
1998-08-01,Birla Corporation Ltd.,in
1998-08-01,Birla Global Finance Ltd.,in
1998-08-01,Birla Power Solutions Ltd.,in
1998-08-01,Blow Plast Ltd.,in
1998-08-01,Blue Star Ltd.,in
1998-08-01,Bombay Burmah Trading Corporation Ltd.,in
1998-08-01,Bombay Dyeing & Manufacturing Co. Ltd.,in
1998-08-01,Bongaigaon Refinery & Petrochemicals Ltd.,in
1998-08-01,Bosch Ltd.,in
1998-08-01,Brabourne Enterprises Ltd.,in
1998-08-01,Britannia Industries Ltd.,in
1998-08-01,Burroughs Wellcome (India) Ltd.,in
1998-08-01,CESC Ltd.,in
1998-08-01,CFL Capital Financial Services Ltd.,in
1998-08-01,CRISIL Ltd.,in
1998-08-01,Cable Corporation of India Ltd.,in
1998-08-01,Cabot India Ltd.,in
1998-08-01,Cadbury India Ltd.,in
1998-08-01,Caprihans India Ltd.,in
1998-08-01,Carborundum Universal Ltd.,in
1998-08-01,Carrier Aircon Ltd.,in
1998-08-01,Castrol (India) Ltd.,in
1998-08-01,Ceat Ltd.,in
1998-08-01,Centak Chemicals Ltd.,in
1998-08-01,Century Enka Ltd.,in
1998-08-01,Century Textile & Industries Ltd.,in
1998-08-01,Chambal Fertilizers & Chemicals Ltd.,in
1998-08-01,Cheminor Drugs Ltd.,in
1998-08-01,Chemplast Sanmar Ltd.,in
1998-08-01,Chennai Petroleum Corporation Ltd.,in
1998-08-01,Chicago Pneumatic India Ltd.,in
1998-08-01,Chowgule Steamships Ltd.,in
1998-08-01,Cipla Ltd.,in
1998-08-01,Clariant (India) Ltd.,in
1998-08-01,Clariant Chemicals (India) Ltd.,in
1998-08-01,Colgate Palmolive (India) Ltd.,in
1998-08-01,Core Healthcare Ltd.,in
1998-08-01,Cosmo Films Ltd.,in
1998-08-01,Crompton Greaves Ltd.,in
1998-08-01,Cummins India Ltd.,in
1998-08-01,DCL Polyesters Ltd.,in
1998-08-01,DCW Ltd.,in
1998-08-01,DIC India Ltd.,in
1998-08-01,Dabur India Ltd.,in
1998-08-01,Daewoo Motors India Ltd.,in
1998-08-01,Dalmia Bharat Sugar and Industries Ltd.,in
1998-08-01,Deepak Fertilisers & Petrochemicals Corp. Ltd.,in
1998-08-01,Denso India Ltd.,in
1998-08-01,Dewan Rubber Industries Ltd.,in
1998-08-01,Dhampur Sugar Mills Ltd.,in
1998-08-01,Dharamsi Morarji Chemical Co. Ltd.,in
1998-08-01,Digital Globalsoft Ltd.,in
1998-08-01,Digjam Ltd.,in
1998-08-01,Dr. Reddy's Laboratories Ltd.,in
1998-08-01,E.I.D. Parry (India) Ltd.,in
1998-08-01,EIH Ltd.,in
1998-08-01,ESAB India Ltd.,in
1998-08-01,Elecon Engineering Co. Ltd.,in
1998-08-01,Electrex (India) Ltd.,in
1998-08-01,Electrosteel Castings Ltd.,in
1998-08-01,Elgi Equipments Ltd.,in
1998-08-01,Escorts Ltd.,in
1998-08-01,Eskay K'n'IT (India) Ltd.,in
1998-08-01,Essar Oil Ltd.,in
1998-08-01,Essar Ports Ltd.,in
1998-08-01,Essar Steel Ltd.,in
1998-08-01,Essel Propack Ltd.,in
1998-08-01,Everest Industries Ltd.,in
1998-08-01,Excel Industries Ltd.- Arrangement,in
1998-08-01,Exide Industries Ltd.,in
1998-08-01,FDC Ltd.,in
1998-08-01,FGP Ltd.,in
1998-08-01,Fag Bearings India Ltd.,in
1998-08-01,Federal Bank Ltd.,in
1998-08-01,Federal-Mogul Goetze (India) Ltd.,in
1998-08-01,Finolex Cables Ltd.,in
1998-08-01,Finolex Industries Ltd.,in
1998-08-01,Flat Products Equipments (India) Ltd.,in
1998-08-01,Forbes Gokak Ltd.,in
1998-08-01,Foseco India Ltd.,in
