company_name,effective_from,effective_to
20th Century Finance Corporation Ltd.,1998-08-01,1999-02-03
8K Miles Soft Services Ltd.,2016-04-01,2019-03-29
ABG Shipyard Ltd.,2008-02-15,2016-09-30
ADC India Communications Ltd.,1999-09-08,2003-04-01
AGC Networks Ltd.,1998-08-01,2011-03-25
AP Paper Mills Ltd.,1998-08-01,2002-04-23
APR Ltd.,1998-08-01,2000-09-03
ARSS Infrastructure Projects Ltd.,2011-05-18,2012-09-28
AXIS IT&T Ltd.,2002-09-19,2004-12-10
Accelya Kale Solutions Ltd.,2001-04-25,2008-09-10
Aditya Birla Nuvo Ltd.,1998-08-01,2015-10-19
Aditya Birla Nuvo Ltd.,2016-09-30,2017-05-26
Adlabs Entertainment Ltd.,2015-09-28,2016-04-01
Advanta Ltd.,2009-03-27,2016-04-29
Aftek Ltd.,2002-03-29,2011-10-10
Agro Dutch Industries Ltd.,2002-09-19,2009-10-22
Agro Tech Foods Ltd.,1998-08-01,2016-04-01
Ahluwalia Contracts (India) Ltd.,2016-04-01,2018-04-02
Ahmednagar Forgings Ltd.,1998-08-01,1999-09-08
Alfa Laval (India) Ltd.,1998-08-01,2012-04-12
Allahabad Bank,2003-08-11,2019-12-27
Alpic Finance Ltd.,1998-08-01,2002-01-17
Alpine Industries Ltd.,1998-08-01,1999-05-26
Altos India Ltd.,1998-08-01,1999-05-26
Ambalal Sarabhai Enterprises Ltd.,1998-08-01,2002-03-29
Amrut Industries Ltd.,1998-08-01,1999-02-03
Amtek Auto Ltd.,2003-11-19,2017-09-29
Amtek India Ltd.,2007-04-04,2016-09-30
Andhra Bank,2002-04-23,2019-12-27
Andhra Valley Power Supply Co. Ltd.,1998-08-01,2000-11-29
Apple Credit Corporation Ltd.,1998-08-01,2001-08-31
Apple Finance Ltd.,1998-08-01,2001-12-07
Aptech Ltd. (Erstwhile),1998-08-01,2002-01-29
Arshiya International Ltd.,2012-04-27,2013-09-27
Arvind Polycot Ltd.,1998-08-01,1999-05-26
Ashok Leyland Finance Ltd.,1998-08-01,2004-07-09
Asian Coffee Ltd.,1998-08-01,1999-12-08
Asian Electronics Ltd.,1998-08-01,2011-03-25
Assam Company India Ltd.,1998-08-01,2002-07-09
AstraZenca Pharma India Ltd.,1998-08-01,2018-04-02
Atcom Technologies Ltd.,1998-08-01,2004-12-10
Atlas Copco (India) Ltd.,1998-08-01,2003-04-01
Autoriders Finance Ltd.,1998-08-01,1999-09-08
Avery India Ltd.,1999-02-03,2001-08-31
Aztecsoft Ltd.,2001-12-07,2009-06-23
BIL Industries Ltd.,1998-08-01,1999-05-26
BPL Engineering Ltd.,1998-08-01,2004-12-10
Bajaj Hindusthan Ltd.,1998-08-01,2002-04-23
Bajaj Hindusthan Ltd.,2003-09-29,2018-09-28
Bajaj Tempo Ltd.,1998-08-01,2001-04-25
Balaji Distilleries Ltd.,1998-08-01,2004-03-15
Ballarpur Industries Ltd.,1998-08-01,2008-02-29
Ballarpur Industries Ltd.,2009-03-27,2018-09-28
Bank of Punjab Ltd.,2001-08-31,2005-10-06
Bank of Rajasthan Ltd.,2002-03-29,2004-03-01
Bayer Cropscience India Ltd. -Erstwhile,2000-01-12,2003-11-21
Bell Ceramics Ltd.,1998-08-01,1999-09-08
Bharat Hotels Ltd. - Delisted,2002-09-19,2003-06-17
Bharti Telecom Ltd.-Suspended,1998-08-01,1999-12-08
Bhushan Steel Ltd.,2002-07-09,2002-09-19
Bhushan Steel Ltd.,2004-07-09,2018-09-28
Binani Cement Ltd.,2010-04-08,2011-05-18
Binani Industries Ltd.,1998-08-01,2002-09-19
Birla Ericsson Optical Ltd.,1999-09-08,2007-09-24
Birla Global Finance Ltd.,1998-08-01,2006-07-10
Birla Power Solutions Ltd.,1998-08-01,2002-03-29
Blow Plast Ltd.,1998-08-01,2002-04-23
Blue Star Infotech Ltd.,2002-04-23,2008-09-10
Bombay Rayon Fashions Ltd.,2007-04-04,2014-03-28
Bombay Rayon Fashions Ltd.,2016-04-01,2017-03-31
Bombay Rayon Fashions Ltd.,2017-09-29,2018-09-28
Bongaigaon Refinery & Petrochemicals Ltd.,1998-08-01,2009-04-21
Bosch Chassis Systems India Ltd.,2005-03-04,2008-10-31
Brabourne Enterprises Ltd.,1998-08-01,2008-02-15
Burroughs Wellcome (India) Ltd.,1998-08-01,2003-04-01
CFL Capital Financial Services Ltd.,1998-08-01,2002-11-11
CMC Ltd.,1998-10-07,2015-03-27
CORE Education & Technologies Ltd.,2011-03-25,2014-09-19
Cable Corporation of India Ltd.,1998-08-01,2001-08-31
Cabot India Ltd.,1998-08-01,2002-07-09
Cadbury India Ltd.,1998-08-01,2002-09-19
Cairn India Ltd.,2009-01-12,2016-11-15
Capital First Ltd.,2009-03-27,2018-12-28
Carol Info Services Ltd.,2001-04-25,2012-03-09
Carrier Aircon Ltd.,1998-08-01,2003-04-01
Centak Chemicals Ltd.,1998-08-01,2002-03-29
Central India Polyesters Ltd.,2003-04-07,2006-10-05
Centurion Bank Ltd.,2001-08-31,2004-01-28
Century Plyboards (India) Ltd.,2009-06-23,2013-07-17
Cheminor Drugs Ltd.,1998-08-01,2000-12-13
Chettinad Cement Corporation Ltd.,1999-02-03,2002-09-19
Chettinad Cement Corporation Ltd.,2009-03-27,2009-10-22
Chicago Pneumatic India Ltd.,1998-08-01,2001-01-10
Ciba Speciality Chemicals (India) Ltd.,1999-12-08,2003-04-07
Clariant (India) Ltd.,1998-08-01,2006-04-13
Clariant Chemicals (India) Ltd.,1998-08-01,2016-09-30
Compudyne Winfosystems Ltd.,2002-09-19,2004-11-18
Consolidated Finvest & Holdings Ltd.,2005-09-26,2010-04-08
Core Healthcare Ltd.,1998-08-01,2000-05-24
Corporation Bank,1999-02-03,2018-04-02
Corporation Bank,2019-01-28,2019-12-27
Cosmo Films Ltd.,1998-08-01,2011-10-10
Cox & Kings Ltd.,2011-03-25,2018-06-29
Cox & Kings Ltd.,2019-03-29,2019-12-26
Crest Animation Studios Ltd.,2000-05-24,2009-10-22
D B Realty Ltd.,2010-09-24,2018-09-28
DCL Polyesters Ltd.,1998-08-01,2002-03-29
DSQ Software Ltd.,1999-12-08,2005-09-26
Daewoo Motors India Ltd.,1998-08-01,2002-09-19
Deccan Chronicle Holdings Ltd.,2006-05-17,2013-01-23
Dena Bank,2002-09-19,2019-01-28
Denso India Ltd.,1998-08-01,2002-10-11
Dewan Housing Finance Corporation Ltd.,2011-10-10,2020-06-26
Dewan Rubber Industries Ltd.,1998-08-01,1999-09-08
Dharamsi Morarji Chemical Co. Ltd.,1998-08-01,1999-09-08
Digital Globalsoft Ltd.,1998-08-01,2004-04-12
Dishman Pharmaceuticals & Chemicals Ltd.,2004-12-10,2017-01-23
Dr. Datsons Labs Ltd.,2013-04-01,2014-03-28
Dwarikesh Sugar Industrial Ltd.,2005-09-26,2011-03-25
Educomp Solutions Ltd.,2007-10-25,2015-03-27
Eicher Ltd.,1999-02-03,2004-08-30
Eicher Ltd.,2005-04-20,2007-03-06
Elder Pharmaceuticals Ltd.,2002-09-19,2015-03-27
Electrex (India) Ltd.,1998-08-01,2000-05-24
Era Infra Engineering Ltd.,2006-11-08,2014-09-19
Eros Intl Media Ltd.,2012-04-27,2019-03-29
Eskay K'n'IT (India) Ltd.,1998-08-01,1999-02-03
Ess Dee Aluminium Ltd.,2013-09-27,2016-09-30
Essar Oil Ltd.,1998-08-01,2014-03-28
Essar Ports Ltd.,1998-08-01,2001-12-07
Essar Ports Ltd.,2008-09-10,2011-05-18
Essar Steel Ltd.,1998-08-01,2005-04-25
Essar Steel Ltd.,2005-12-14,2007-12-07
Excel Crop Care Ltd.,2018-09-28,2019-04-15
