seed,cagr_pct,sharpe,max_dd_pct
0,40.1,1.71,-24.04
1,43.98,1.83,-22.81
2,35.43,1.45,-25.53
3,35.97,1.49,-24.67
4,31.71,1.24,-29.74
5,41.38,1.74,-25.21
6,31.02,1.24,-28.53
7,34.17,1.37,-23.24
8,42.09,1.84,-24.84
9,35.95,1.49,-23.73
10,35.58,1.47,-29.18
11,39.05,1.63,-23.29
12,38.07,1.62,-28.88
13,37.76,1.52,-24.66
14,36.08,1.43,-27.57
15,37.19,1.49,-24.35
16,40.81,1.66,-26.44
17,33.08,1.34,-24.57
18,39.89,1.67,-25.35
19,44.12,1.79,-28.37
20,42.75,1.81,-27.72
21,36.53,1.45,-23.63
22,41.04,1.68,-23.76
23,41.1,1.71,-26.76
24,32.25,1.33,-24.08
25,42.05,1.74,-22.52
26,38.69,1.6,-25.21
27,43.84,1.78,-23.84
28,40.96,1.71,-23.33
29,37.26,1.54,-22.56
30,34.71,1.45,-23.94
31,39.03,1.64,-20.9
32,38.82,1.53,-28.5
33,33.54,1.27,-28.32
34,35.8,1.44,-24.84
35,39.77,1.61,-24.91
36,43.95,1.86,-22.85
37,35.71,1.43,-24.43
38,40.7,1.71,-23.15
39,40.75,1.71,-22.33
