seed,cagr_pct,sharpe_rf5,max_dd_pct
0,39.46,1.71,-18.79
1,45.5,2.02,-16.81
2,41.58,1.8,-17.99
3,42.07,1.89,-16.68
4,44.64,1.99,-15.7
5,37.55,1.65,-17.86
6,42.55,1.87,-16.78
7,43.93,1.97,-14.41
8,43.63,1.92,-17.46
9,37.85,1.64,-19.01
10,37.81,1.66,-14.98
11,41.95,1.84,-16.5
12,40.41,1.75,-16.73
13,45.27,2.01,-14.57
14,44.74,1.98,-18.22
15,40.76,1.76,-15.63
16,45.63,2.02,-15.29
17,43.32,1.95,-15.83
18,40.16,1.76,-15.78
19,41.63,1.86,-16.68
20,41.32,1.84,-16.53
21,44.3,1.98,-15.05
22,44.31,1.98,-16.67
23,42.98,1.92,-17.31
24,42.01,1.91,-15.97
25,44.34,1.97,-15.83
26,44.11,1.92,-15.51
27,44.14,1.95,-20.0
28,41.65,1.86,-15.12
29,42.01,1.85,-15.02
