seed,cagr_pct,sharpe_rf5,max_dd_pct
0,44.18,1.55,-31.92
1,47.83,1.68,-29.53
2,45.94,1.6,-33.53
3,50.34,1.78,-29.85
4,50.95,1.8,-30.91
5,42.85,1.49,-34.86
6,45.45,1.58,-30.69
7,47.92,1.7,-28.1
8,48.94,1.72,-30.48
9,41.77,1.45,-31.11
10,44.76,1.56,-31.48
11,48.24,1.7,-32.79
12,47.29,1.63,-32.79
13,50.33,1.78,-31.52
14,46.85,1.68,-33.54
15,45.09,1.56,-32.42
16,47.58,1.65,-30.81
17,44.24,1.54,-32.63
18,44.49,1.55,-29.08
19,49.28,1.75,-30.27
20,45.78,1.6,-31.07
21,44.04,1.56,-32.45
22,48.2,1.68,-30.06
23,46.28,1.65,-34.07
24,40.76,1.45,-35.2
25,50.32,1.8,-32.33
26,48.87,1.7,-28.51
27,51.72,1.85,-33.14
28,49.48,1.75,-31.01
29,46.27,1.62,-29.92
