
Constituents list of S&P CNX 500

Company Name,Industry,Symbol,Series,ISIN Code

3M India Ltd.,TRADING,3MINDIA,EQ,INE470A01017
ABB Ltd.,ELECTRICAL EQUIPMENT,ABB,EQ,INE117A01022
ABG Shipyard Ltd.,SHIPPING,ABGSHIP,EQ,INE067H01016
ACC Ltd.,CEMENT AND CEMENT PRODUCTS,ACC,EQ,INE012A01025
Aarti Industries Ltd.,CHEMICALS - ORGANIC,AARTIIND,EQ,INE769A01020
Aban Offshore Ltd.,OIL EXPLORATION/PRODUCTION,ABAN,EQ,INE421A01028
Abhishek Industries Ltd,TEXTILES - COTTON,ABSHEKINDS,EQ,INE064C01014
Ackruti City Ltd.,CONSTRUCTION,ACKRUTI,EQ,INE703H01016
Adani Enterprises Ltd.,TRADING,ADANIENT,EQ,INE423A01024
Aditya Birla Nuvo Ltd.,TEXTILES - SYNTHETIC,ABIRLANUVO,EQ,INE069A01017
Ador Welding Ltd.,ELECTRODES,ADORWELD,EQ,INE045A01017
Advanta India Ltd.,FOOD AND FOOD PROCESSING,ADVANTA,EQ,INE517H01010
Aftek Ltd.,COMPUTERS - SOFTWARE,AFTEK,EQ,INE796A01023
Agro Tech Foods Ltd.,SOLVENT EXTRACTION,ATFL,EQ,INE209A01019
Ajanta Pharmaceuticals Ltd.,PHARMACEUTICALS,AJANTPHARM,EQ,INE031B01015
Aksh Optifibre Ltd.,CABLES - TELECOM,AKSHOPTFBR,EQ,INE523B01011
Alembic Ltd.,PHARMACEUTICALS,ALEMBICLTD,EQ,INE426A01027
Alfa Laval (India) Ltd.,ENGINEERING,ALFALAVAL,EQ,INE427A01017
Allahabad Bank,BANKS,ALBK,EQ,INE428A01015
Allcargo Global Logistics Ltd.,TRAVEL AND TRANSPORT,ALLCARGO,EQ,INE418H01029
Alok Industries Ltd.,TEXTILES - SYNTHETIC,ALOKTEXT,EQ,INE270A01011
Alstom Projects India Ltd.,POWER,APIL,EQ,INE878A01011
Amara Raja Batteries Ltd.,AUTO ANCILLARIES,AMARAJABAT,EQ,INE885A01024
Ambuja Cements Ltd.,CEMENT AND CEMENT PRODUCTS,AMBUJACEM,EQ,INE079A01024
Amtek Auto Ltd.,AUTO ANCILLARIES,AMTEKAUTO,EQ,INE130C01021
Amtek India Ltd.,AUTO ANCILLARIES,AMTEKINDIA,EQ,INE068D01021
Anant Raj Industries Ltd.,CONSTRUCTION,ANANTRAJ,EQ,INE242C01024
Andhra Bank,BANKS,ANDHRABANK,EQ,INE434A01013
Andhra Sugars Ltd.,DIVERSIFIED,ANDHRSUGAR,EQ,INE715B01013
Ansal Properties & Infrastructure Ltd.,CONSTRUCTION,ANSALINFRA,EQ,INE436A01026
Apollo Hospitals Enterprises Ltd.,MISCELLANEOUS,APOLLOHOSP,EQ,INE437A01016
Apollo Tyres Ltd.,TYRES,APOLLOTYRE,EQ,INE438A01022
Aptech Ltd.,COMPUTERS - SOFTWARE,APTECHT,EQ,INE266F01018
Areva T&D India Ltd.,ELECTRICAL EQUIPMENT,AREVAT&D,EQ,INE200A01026
Arvind Ltd.,TEXTILE PRODUCTS,ARVIND,EQ,INE034A01011
Asahi India Glass Ltd.,AUTO ANCILLARIES,ASAHIINDIA,EQ,INE439A01020
Ashok Leyland Ltd.,AUTOMOBILES - 4 WHEELERS,ASHOKLEY,EQ,INE208A01029
Asian Electronics Ltd.,ELECTRONICS - INDUSTRIAL,ASIANELEC,EQ,INE441A01026
Asian Hotels Ltd.,HOTELS,ASIANHOTEL,EQ,INE363A01014
Asian Paints Ltd.,PAINTS,ASIANPAINT,EQ,INE021A01018
AstraZenca Pharma India Ltd.,PHARMACEUTICALS,ASTRAZEN,EQ,INE203A01020
Atul Ltd.,DYES AND PIGMENTS,ATUL,EQ,INE100A01010
Aurobindo Pharma Ltd.,PHARMACEUTICALS,AUROPHARMA,EQ,INE406A01029
Automotive Axles Ltd.,AUTO ANCILLARIES,AUTOAXLES,EQ,INE449A01011
Avaya GlobalConnect Ltd.,TELECOMMUNICATION - EQUIPMENT,AVAYAGCL,EQ,INE676A01019
Aventis Pharma Ltd.,PHARMACEUTICALS,AVENTIS,EQ,INE058A01010
Axis Bank Ltd.,BANKS,AXISBANK,EQ,INE238A01026
B L Kashyap & Sons Ltd.,CONSTRUCTION,BLKASHYAP,EQ,INE350H01024
BASF India Ltd.,CHEMICALS - SPECIALITY,BASF,EQ,INE373A01013
BEML Ltd.,ENGINEERING,BEML,EQ,INE258A01016
BOC India Ltd.,GAS,BOC,EQ,INE473A01011
BPL Ltd.,CONSUMER DURABLES,BPL,BE,INE110A01019
Bajaj Auto Finance Ltd.,FINANCE,BAJAUTOFIN,EQ,INE296A01016
Bajaj Auto Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,BAJAJ-AUTO,EQ,INE917I01010
Bajaj Finserv Ltd.,FINANCE,BAJAJFINSV,EQ,INE918I01018
Bajaj Hindusthan Ltd.,SUGAR,BAJAJHIND,EQ,INE306A01021
Bajaj Holdings & Investment Ltd.,FINANCE,BAJAJHLDNG,EQ,INE118A01012
Balaji Telefilms Ltd.,MEDIA & ENTERTAINMENT,BALAJITELE,EQ,INE794B01026
Ballarpur Industries Ltd.,PAPER AND PAPER PRODUCTS,BALLARPUR,EQ,INE294A01037
Balmer Lawrie & Co. Ltd.,DIVERSIFIED,BALMLAWRIE,EQ,INE164A01016
Balrampur Chini Mills Ltd.,SUGAR,BALRAMCHIN,EQ,INE119A01028
Bank of Baroda,BANKS,BANKBARODA,EQ,INE028A01013
Bank of India,BANKS,BANKINDIA,EQ,INE084A01016
Bannari Amman Sugars Ltd.,SUGAR,BANARISUG,EQ,INE459A01010
Bata India Ltd.,LEATHER AND LEATHER PRODUCTS,BATAINDIA,EQ,INE176A01010
Berger Paints India Ltd.,PAINTS,BERGEPAINT,EQ,INE463A01020
Bhansali Engineering Polymers Ltd.,PETROCHEMICALS,BEPL,BE,INE922A01025
Bharat Electronics Ltd.,ELECTRONICS - INDUSTRIAL,BEL,EQ,INE263A01016
Bharat Forge Ltd.,CASTINGS/FORGINGS,BHARATFORG,EQ,INE465A01025
Bharat Heavy Electricals Ltd.,ELECTRICAL EQUIPMENT,BHEL,EQ,INE257A01018
Bharat Petroleum Corporation Ltd.,REFINERIES,BPCL,EQ,INE029A01011
Bharti Airtel Ltd.,TELECOMMUNICATION - SERVICES,BHARTIARTL,EQ,INE397D01024
Bhushan Steel Ltd.,STEEL AND STEEL PRODUCTS,BHUSANSTL,EQ,INE824B01013
Biocon Ltd.,PHARMACEUTICALS,BIOCON,EQ,INE376G01013
Birla Corporation Ltd.,CEMENT AND CEMENT PRODUCTS,BIRLACORPN,EQ,INE340A01012
Blue Dart Express Ltd.,TRAVEL AND TRANSPORT,BLUEDART,EQ,INE233B01017
Blue Star Ltd.,AIRCONDITIONERS,BLUESTARCO,EQ,INE472A01039
Bombay Dyeing & Manufacturing Co. Ltd.,TEXTILES - SYNTHETIC,BOMDYEING,EQ,INE032A01015
Bombay Rayon Fashions Ltd.,TEXTILE PRODUCTS,BRFL,EQ,INE589G01011
Bosch Ltd.,AUTO ANCILLARIES,BOSCHLTD,EQ,INE323A01026
Britannia Industries Ltd.,FOOD AND FOOD PROCESSING,BRITANNIA,EQ,INE216A01014
CESC Ltd.,POWER,CESC,EQ,INE486A01013
CMC Ltd.,COMPUTERS - HARDWARE,CMC,EQ,INE314A01017
CRISIL Ltd.,FINANCE,CRISIL,EQ,INE007A01017
Cadila Healthcare Ltd.,PHARMACEUTICALS,CADILAHC,EQ,INE010B01019
Cairn India Ltd.,OIL EXPLORATION/PRODUCTION,CAIRN,EQ,INE910H01017
Can Fin Homes Ltd.,FINANCE - HOUSING,CANFINHOME,EQ,INE477A01012
Canara Bank,BANKS,CANBK,EQ,INE476A01014
Carborundum Universal Ltd.,ABRASIVES,CARBORUNIV,EQ,INE120A01026
Carol Info Services Ltd.,FOOD AND FOOD PROCESSING,CAROLINFO,EQ,INE198A01014
Castrol (India) Ltd.,PETROCHEMICALS,CASTROL,EQ,INE172A01019
Century Enka Ltd.,TEXTILES - SYNTHETIC,CENTENKA,EQ,INE485A01015
Century Plyboards (India) Ltd.,CONSTRUCTION,CENTURYPLY,EQ,INE348B01021
Century Textile & Industries Ltd.,DIVERSIFIED,CENTURYTEX,EQ,INE055A01016
Chambal Fertilizers & Chemicals Ltd.,FERTILISERS,CHAMBLFERT,EQ,INE085A01013
Chemplast Sanmar Ltd.,PETROCHEMICALS,CHEMPLAST,EQ,INE488A01027
Chennai Petroleum Corporation Ltd.,REFINERIES,CHENNPETRO,EQ,INE178A01016
Cholamandalam DBS Finance Ltd.,FINANCE,CHOLADBS,EQ,INE121A01016
Cipla Ltd.,PHARMACEUTICALS,CIPLA,EQ,INE059A01026
City Union Bank Ltd.,BANKS,CUB,EQ,INE491A01021
Clariant Chemicals (India) Ltd.,DYES AND PIGMENTS,CLNINDIA,EQ,INE492A01029
Colgate Palmolive (India) Ltd.,PERSONAL CARE,COLPAL,EQ,INE259A01022
Consolidated Finvest & Holdings Ltd.,FINANCE,CONSOFINVT,EQ,INE025A01027
Container Corporation of India Ltd.,TRAVEL AND TRANSPORT,CONCOR,EQ,INE111A01017
Coromandel International Ltd.,FERTILISERS,COROMANDEL,EQ,INE169A01023
Corporation Bank,BANKS,CORPBANK,EQ,INE112A01015
Cosmo Films Ltd.,PACKAGING,COSMOFILMS,EQ,INE757A01017
