
Constituents list of CNX Midcap

Company Name,Industry,Symbol,Series,ISIN Code

Ackruti City Ltd.,CONSTRUCTION,ACKRUTI,EQ,INE703H01016
Aditya Birla Nuvo Ltd.,TEXTILES - SYNTHETIC,ABIRLANUVO,EQ,INE069A01017
Allahabad Bank,BANKS,ALBK,EQ,INE428A01015
Alstom Projects India Ltd.,POWER,APIL,EQ,INE878A01011
Amtek Auto Ltd.,AUTO ANCILLARIES,AMTEKAUTO,EQ,INE130C01021
Anant Raj Industries Ltd.,CONSTRUCTION,ANANTRAJ,EQ,INE242C01024
Andhra Bank,BANKS,ANDHRABANK,EQ,INE434A01013
Apollo Hospitals Enterprises Ltd.,MISCELLANEOUS,APOLLOHOSP,EQ,INE437A01016
Areva T&D India Ltd.,ELECTRICAL EQUIPMENT,AREVAT&D,EQ,INE200A01026
Ashok Leyland Ltd.,AUTOMOBILES - 4 WHEELERS,ASHOKLEY,EQ,INE208A01029
Asian Paints Ltd.,PAINTS,ASIANPAINT,EQ,INE021A01018
Aurobindo Pharma Ltd.,PHARMACEUTICALS,AUROPHARMA,EQ,INE406A01029
Aventis Pharma Ltd.,PHARMACEUTICALS,AVENTIS,EQ,INE058A01010
BEML Ltd.,ENGINEERING,BEML,EQ,INE258A01016
Bajaj Hindusthan Ltd.,SUGAR,BAJAJHIND,EQ,INE306A01021
Balrampur Chini Mills Ltd.,SUGAR,BALRAMCHIN,EQ,INE119A01028
Bank of Maharashtra.,BANKS,MAHABANK,EQ,INE457A01014
Bharat Forge Ltd.,CASTINGS/FORGINGS,BHARATFORG,EQ,INE465A01025
Biocon Ltd.,PHARMACEUTICALS,BIOCON,EQ,INE376G01013
Britannia Industries Ltd.,FOOD AND FOOD PROCESSING,BRITANNIA,EQ,INE216A01014
CESC Ltd.,POWER,CESC,EQ,INE486A01013
Century Textile & Industries Ltd.,DIVERSIFIED,CENTURYTEX,EQ,INE055A01016
Chennai Petroleum Corporation Ltd.,REFINERIES,CHENNPETRO,EQ,INE178A01016
Colgate Palmolive (India) Ltd.,PERSONAL CARE,COLPAL,EQ,INE259A01022
Corporation Bank,BANKS,CORPBANK,EQ,INE112A01015
Crompton Greaves Ltd.,ELECTRICAL EQUIPMENT,CROMPGREAV,EQ,INE067A01029
Cummins India Ltd.,DIESEL ENGINES,CUMMINSIND,EQ,INE298A01020
Deccan Chronicle Holdings Ltd.,PRINTING AND PUBLISHING,DCHL,EQ,INE137G01027
Divi's Laboratories Ltd.,PHARMACEUTICALS,DIVISLAB,EQ,INE361B01024
EIH Ltd.,HOTELS,EIHOTEL,EQ,INE230A01023
Engineers India Ltd.,ENGINEERING,ENGINERSIN,EQ,INE510A01010
Exide Industries Ltd.,AUTO ANCILLARIES,EXIDEIND,EQ,INE302A01020
GVK Power & Infrastructures Ltd.,POWER,GVKPIL,EQ,INE251H01024
Gillette India Ltd.,PERSONAL CARE,GILLETTE,EQ,INE322A01010
GlaxoSmithkline Consumer Healthcare Ltd.,FOOD AND FOOD PROCESSING,GSKCONS,EQ,INE264A01014
Glenmark Pharmaceuticals Ltd.,PHARMACEUTICALS,GLENMARK,EQ,INE935A01035
Godrej Consumer Products Ltd.,PERSONAL CARE,GODREJCP,EQ,INE102D01028
Godrej Industries Ltd.,CHEMICALS - INORGANIC,GODREJIND,EQ,INE233A01035
Great Eastern Shipping Co. Ltd.,SHIPPING,GESHIP,EQ,INE017A01032
HCL Infosystems Ltd.,COMPUTERS - HARDWARE,HCL-INSYS,EQ,INE236A01020
HMT Ltd.,AUTOMOBILES - 4 WHEELERS,HMT,EQ,INE262A01018
HT Media Ltd.,PRINTING AND PUBLISHING,HTMEDIA,EQ,INE501G01024
Hindustan Petroleum Corporation Ltd.,REFINERIES,HINDPETRO,EQ,INE094A01015
IDBI Bank Ltd.,BANKS,IDBI,EQ,INE008A01015
ING Vysya Bank Ltd.,BANKS,INGVYSYABK,EQ,INE166A01011
IVRCL Infrastructures & Projects Ltd.,CONSTRUCTION,IVRCLINFRA,EQ,INE875A01025
India Cements Ltd.,CEMENT AND CEMENT PRODUCTS,INDIACEM,EQ,INE383A01012
Indian Bank,BANKS,INDIANB,EQ,INE562A01011
Indian Hotels Co. Ltd.,HOTELS,INDHOTEL,EQ,INE053A01029
Indian Overseas Bank ,BANKS,IOB,EQ,INE565A01014
Indraprastha Gas Ltd.,GAS,IGL,EQ,INE203G01019
JSW Steel Ltd.,STEEL AND STEEL PRODUCTS,JSWSTEEL,EQ,INE019A01020
Jammu & Kashmir Bank Ltd.,BANKS,J&KBANK,EQ,INE168A01017
Jet Airways (India) Ltd.,TRAVEL AND TRANSPORT,JETAIRWAYS,EQ,INE802G01018
Jindal Saw Ltd.,STEEL AND STEEL PRODUCTS,JINDALSAW,EQ,INE324A01024
Jubilant Organosys Ltd.,CHEMICALS - ORGANIC,JUBILANT,EQ,INE700A01033
KSK Energy Ventures Ltd,POWER,KSK,EQ,INE143H01015
Kansai Nerolac Paints Ltd.,PAINTS,KANSAINER,EQ,INE531A01016
Kirloskar Brothers Ltd,COMPRESSORS / PUMPS,KBL,EQ,INE732A01028
Lanco Infratech Ltd.,CONSTRUCTION,LITL,EQ,INE785C01030
Lupin Ltd.,PHARMACEUTICALS,LUPIN,EQ,INE326A01029
Madras Cements Ltd.,CEMENT AND CEMENT PRODUCTS,MADRASCEM,EQ,INE331A01037
Mahanagar Telephone Nigam Ltd.,TELECOMMUNICATION - SERVICES,MTNL,EQ,INE153A01019
Marico Ltd.,PERSONAL CARE,MARICO,EQ,INE196A01026
Max India Ltd.,PACKAGING,MAX,EQ,INE180A01020
Moser Baer India Ltd.,COMPUTERS - HARDWARE,MOSERBAER,EQ,INE739A01015
Motherson Sumi Systems Ltd.,AUTO ANCILLARIES,MOTHERSUMI,EQ,INE775A01035
MphasiS Ltd.,COMPUTERS - SOFTWARE,MPHASIS,EQ,INE356A01018
Nirma Ltd.,DETERGENTS,NIRMA,EQ,INE091A01029
Omaxe Ltd.,CONSTRUCTION,OMAXE,EQ,INE800H01010
Oriental Bank of Commerce,BANKS,ORIENTBANK,EQ,INE141A01014
Pantaloon Retail (India) Ltd.,MISCELLANEOUS,PANTALOONR,EQ,INE623B01027
Patni Computer Systems Ltd.,COMPUTERS - SOFTWARE,PATNI,EQ,INE660F01012
Petronet LNG Ltd.,GAS,PETRONET,EQ,INE347G01014
Pfizer Ltd.,PHARMACEUTICALS,PFIZER,EQ,INE182A01018
Piramal Healthcare Ltd.,PHARMACEUTICALS,PIRHEALTH,EQ,INE140A01024
Procter & Gamble Hygiene & Health Care Ltd.,PERSONAL CARE,PGHH,EQ,INE179A01014
Punj Lloyd Ltd.,CONSTRUCTION,PUNJLLOYD,EQ,INE701B01021
Rashtriya Chemicals & Fertilizers Ltd.,FERTILISERS,RCF,EQ,INE027A01015
Sesa Goa Ltd.,MINING,SESAGOA,EQ,INE205A01025
Shipping Corporation of India Ltd.,SHIPPING,SCI,EQ,INE109A01011
Shree Cement Ltd.,CEMENT AND CEMENT PRODUCTS,SHREECEM,EQ,INE070A01015
Shriram Transport Finance Co. Ltd.,FINANCE,SRTRANSFIN,EQ,INE721A01013
Sterling Biotech Ltd,PHARMACEUTICALS,STERLINBIO,EQ,INE324C01038
Syndicate Bank,BANKS,SYNDIBANK,EQ,INE667A01018
Tata Chemicals Ltd.,CHEMICALS - INORGANIC,TATACHEM,EQ,INE092A01019
Tata Tea Ltd.,TEA AND COFFEE,TATATEA,EQ,INE192A01017
Tech Mahindra Ltd.,COMPUTERS - SOFTWARE,TECHM,EQ,INE669C01028
Thermax Ltd.,ELECTRICAL EQUIPMENT,THERMAX,EQ,INE152A01029
Titan Industries Ltd.,GEMS JEWELLERY AND WATCHES,TITAN,EQ,INE280A01010
Torrent Power Ltd.,POWER,TORNTPOWER,EQ,INE813H01021
UCO Bank,BANKS,UCOBANK,EQ,INE691A01018
UltraTech Cement Ltd.,CEMENT AND CEMENT PRODUCTS,ULTRACEMCO,EQ,INE481G01011
Union Bank of India,BANKS,UNIONBANK,EQ,INE692A01016
United Phosphorus Ltd.,PESTICIDES AND AGROCHEMICALS,UNIPHOS,EQ,INE628A01036
Vijaya Bank,BANKS,VIJAYABANK,EQ,INE705A01016
Welspun Gujarat Stahl Rohren Ltd.,STEEL AND STEEL PRODUCTS,WELGUJ,EQ,INE191B01025
Wockhardt Ltd.,PHARMACEUTICALS,WOCKPHARMA,EQ,INE049B01025
Yes Bank Ltd.,BANKS,YESBANK,EQ,INE528G01019
Zee Entertainment Enterprises Ltd.,MEDIA & ENTERTAINMENT,ZEEL,EQ,INE256A01028
