scheme,label,sector_v2
ABRASIVES,nse_fine_2006_2011,Capital Goods
AIRCONDITIONERS,nse_fine_2006_2011,Consumer Durables
ALUMINIUM,nse_fine_2006_2011,Metals & Mining
AUTO ANCILLARIES,nse_fine_2006_2011,Automobile and Auto Components
AUTOMOBILES - 2 AND 3 WHEELERS,nse_fine_2006_2011,Automobile and Auto Components
AUTOMOBILES - 4 WHEELERS,nse_fine_2006_2011,Automobile and Auto Components
BANKS,nse_fine_2006_2011,Financial Services
BEARINGS,nse_fine_2006_2011,Capital Goods
BREW/DISTILLERIES,nse_fine_2006_2011,Fast Moving Consumer Goods
CABLES - TELECOM,nse_fine_2006_2011,Capital Goods
CASTINGS/FORGINGS,nse_fine_2006_2011,Capital Goods
CEMENT AND CEMENT PRODUCTS,nse_fine_2006_2011,Construction Materials
CHEMICALS - INORGANIC,nse_fine_2006_2011,Chemicals
CHEMICALS - ORGANIC,nse_fine_2006_2011,Chemicals
CHEMICALS - SPECIALITY,nse_fine_2006_2011,Chemicals
CIGARETTES,nse_fine_2006_2011,Fast Moving Consumer Goods
COMPRESSORS / PUMPS,nse_fine_2006_2011,Capital Goods
COMPUTERS - HARDWARE,nse_fine_2006_2011,Information Technology
COMPUTERS - SOFTWARE,nse_fine_2006_2011,Information Technology
CONSTRUCTION,nse_fine_2006_2011,Construction
CONSUMER DURABLES,nse_fine_2006_2011,Consumer Durables
CYCLES,nse_fine_2006_2011,Automobile and Auto Components
DETERGENTS,nse_fine_2006_2011,Fast Moving Consumer Goods
DIESEL ENGINES,nse_fine_2006_2011,Capital Goods
DIVERSIFIED,nse_fine_2006_2011,Diversified
DYES AND PIGMENTS,nse_fine_2006_2011,Chemicals
ELECTRICAL EQUIPMENT,nse_fine_2006_2011,Capital Goods
ELECTRODES,nse_fine_2006_2011,Capital Goods
ELECTRONICS - INDUSTRIAL,nse_fine_2006_2011,Capital Goods
ENGINEERING,nse_fine_2006_2011,Capital Goods
FASTNERS,nse_fine_2006_2011,Capital Goods
FERTILISERS,nse_fine_2006_2011,Chemicals
FINANCE,nse_fine_2006_2011,Financial Services
FINANCE - HOUSING,nse_fine_2006_2011,Financial Services
FINANCIAL INSTITUTION,nse_fine_2006_2011,Financial Services
FOOD AND FOOD PROCESSING,nse_fine_2006_2011,Fast Moving Consumer Goods
GAS,nse_fine_2006_2011,Oil Gas & Consumable Fuels
GEMS,nse_fine_2006_2011,Consumer Durables
GEMS JEWELLERY AND WATCHES,nse_fine_2006_2011,Consumer Durables
HOTELS,nse_fine_2006_2011,Consumer Services
LEATHER AND LEATHER PRODUCTS,nse_fine_2006_2011,Consumer Durables
MEDIA & ENTERTAINMENT,nse_fine_2006_2011,Media Entertainment & Publication
METALS,nse_fine_2006_2011,Metals & Mining
MINING,nse_fine_2006_2011,Metals & Mining
