symbol,pnl_pct,reason,entry_date,exit_date,hold_days
TATAELXSI,-0.23054840219459538,atr_stop,2016-01-04,2016-01-18,14
INDUSTOWER,-0.15122261687351612,rank,2016-01-04,2016-02-01,28
KPRMILL,-0.24311750667491794,atr_stop,2016-01-04,2016-02-15,42
GODFRYPHLP,-0.27868156348150785,atr_stop,2016-01-04,2016-02-15,42
MARUTI,-0.20749574564302042,atr_stop,2016-01-04,2016-02-15,42
TATAELXSI,0.08993175098836614,atr_stop,2016-01-18,2016-02-15,28
BAJAJHLDNG,-0.17067800501616182,rank,2016-01-04,2016-02-15,42
SCHAEFFLER,-0.08362341666051998,rank,2016-01-04,2016-02-15,42
KEI,-0.21515985809921234,atr_stop,2016-01-04,2016-02-22,49
APLAPOLLO,-0.24090529474349254,atr_stop,2016-01-04,2016-02-29,56
COFORGE,-0.2746864274892554,atr_stop,2016-01-04,2016-02-29,56
LUPIN,-0.16283249981401182,atr_stop,2016-01-04,2016-03-28,84
DIVISLAB,-0.11969147249182144,rank,2016-01-04,2016-04-11,98
SJVN,-0.09520097122731197,rank,2016-01-04,2016-04-11,98
SUPREMEIND,0.13707012205098001,rank,2016-01-04,2016-04-11,98
AJANTPHARM,0.11790591968883435,rank,2016-01-04,2016-04-25,112
GODREJCP,0.019511900172315633,rank,2016-01-04,2016-04-25,112
TORNTPHARM,-0.01110948220853436,rank,2016-01-04,2016-04-25,112
GODFRYPHLP,-0.10817297783468338,atr_stop,2016-02-15,2016-05-02,77
MARICO,0.0957087431873469,rank,2016-01-04,2016-05-09,126
TORNTPOWER,-0.11911761799638931,atr_stop,2016-02-15,2016-05-23,98
ABBOTINDIA,-0.09960021496341187,rank,2016-02-01,2016-05-23,112
BRITANNIA,-0.07293793944124405,rank,2016-01-04,2016-06-06,154
BAJAJFINSV,-0.05495612548487916,rank,2016-01-04,2016-06-06,154
TATAELXSI,-0.13075931608792002,atr_stop,2016-02-15,2016-07-18,154
MPHASIS,0.0779934315084232,rank,2016-01-04,2016-07-18,196
CHOLAFIN,0.4933039188879569,rank,2016-01-04,2016-07-18,196
SRF,0.039713929360220224,rank,2016-04-11,2016-07-18,98
TVSMOTOR,-0.06319364341156508,rank,2016-04-25,2016-07-18,84
COFORGE,-0.10468772744221833,atr_stop,2016-03-28,2016-08-01,126
ASHOKLEY,-0.1358745922788569,rank,2016-04-11,2016-08-01,112
KEI,0.26567593105106324,rank,2016-02-29,2016-08-16,169
TATAELXSI,-0.0007390375797418081,rank,2016-07-18,2016-08-16,29
3MINDIA,0.17356397872674934,rank,2016-01-04,2016-08-29,238
APARINDS,0.2248130058594635,rank,2016-02-15,2016-08-29,196
GODREJPROP,0.11516430740052463,rank,2016-05-23,2016-08-29,98
ADANIENSOL,0.07445986474446409,rank,2016-07-18,2016-08-29,42
DLF,-0.04977772994451157,rank,2016-08-01,2016-09-26,56
KPRMILL,0.6574570886462021,rank,2016-02-15,2016-10-10,238
SHRIRAMFIN,0.07807080873713557,rank,2016-05-23,2016-10-10,140
