date,symbol,side,shares,price,notional,slippage,reason
2016-01-04,MPHASIS,BUY,84,467.6622584374828,39283.62970874856,78.56725941749711,entry
2016-01-04,MARUTI,BUY,8,4546.095381088826,36368.76304871061,72.73752609742121,entry
2016-01-04,SUPREMEIND,BUY,57,685.6785761241125,39083.67883907441,78.16735767814882,entry
2016-01-04,SCHAEFFLER,BUY,45,860.5190349220059,38723.356571490265,77.44671314298053,entry
2016-01-04,TORNTPHARM,BUY,54,725.605333820059,39182.688026283184,78.36537605256638,entry
2016-01-04,INDUSTOWER,BUY,92,426.26355023501765,39216.24662162163,78.43249324324326,entry
2016-01-04,LUPIN,BUY,21,1815.2925087673727,38121.14268411483,76.24228536822966,entry
2016-01-04,BAJAJFINSV,BUY,201,195.89213704551233,39374.31954614798,78.74863909229596,entry
2016-01-04,KEI,BUY,330,119.73870210267904,39513.77169388408,79.02754338776816,entry
2016-01-04,SJVN,BUY,1219,32.40550298804781,39502.30814243028,79.00461628486056,entry
2016-01-04,GODREJCP,BUY,88,446.1549145066434,39261.63247658462,78.52326495316925,entry
2016-01-04,UNOMINDA,BUY,1270,31.117943325215847,39519.78802302413,79.03957604604825,entry
2016-01-04,3MINDIA,BUY,3,11168.463408356052,33505.39022506816,67.01078045013631,entry
2016-01-04,AJANTPHARM,BUY,43,900.9614163809226,38741.34090437967,77.48268180875934,entry
2016-01-04,MARICO,BUY,173,227.65364621333723,39384.08079490734,78.76816158981468,entry
2016-01-04,CHOLAFIN,BUY,310,127.2113671683298,39435.52382218224,78.87104764436448,entry
2016-01-04,BAJAJHLDNG,BUY,24,1642.375688046647,39417.016513119524,78.83403302623906,entry
2016-01-04,GODFRYPHLP,BUY,84,466.33034048507466,39171.74860074627,78.34349720149254,entry
2016-01-04,TATAELXSI,BUY,35,1108.4229121390408,38794.80192486643,77.58960384973285,entry
2016-01-04,COFORGE,BUY,342,115.54081311062086,39514.95808383233,79.02991616766467,entry
2016-01-04,DIVISLAB,BUY,34,1136.5845325005407,38643.87410501838,77.28774821003677,entry
2016-01-04,KPRMILL,BUY,444,88.81740547094037,39434.92802909752,78.86985605819504,entry
2016-01-04,BRITANNIA,BUY,26,1484.8685512002232,38606.582331205806,77.21316466241161,entry
2016-01-04,APLAPOLLO,BUY,509,77.61515233949946,39506.112540805225,79.01222508161045,entry
2016-01-04,BAJFINANCE,BUY,654,60.419671261930006,39514.46500530223,79.02893001060445,entry
2016-01-18,TATAELXSI,BUY,41,854.5835363510837,35037.92499039443,70.07584998078886,entry
2016-01-18,TATAELXSI,SELL,35,854.5835363510837,29910.42377228793,59.82084754457586,atr_stop
2016-02-01,INDUSTOWER,SELL,92,362.52646641206417,33352.434909909905,66.7048698198198,rank
2016-02-01,ABBOTINDIA,BUY,7,5092.555894443708,35647.89126110596,71.29578252221191,entry
2016-02-15,APARINDS,BUY,77,453.44862438646345,34915.54407775769,69.83108815551537,entry
2016-02-15,KPRMILL,SELL,444,67.35878798211715,29907.301864060013,59.81460372812003,atr_stop
2016-02-15,GODFRYPHLP,SELL,84,337.04541744402985,28311.815065298506,56.623630130597014,atr_stop
2016-02-15,MARUTI,SELL,8,3610.00553008596,28880.04424068768,57.76008848137536,atr_stop
2016-02-15,TATAELXSI,SELL,41,933.3006056012487,38265.324829651196,76.5306496593024,atr_stop
2016-02-15,BAJAJHLDNG,SELL,24,1364.7823986880464,32754.777568513113,65.50955513702623,rank
