symbol,shares,avg_cost,last_price,notional,pnl_pct,entry_date,days_held,weight_pct
GVT&D,689,1444.1700750000002,4636.6,3194617.4000000004,2.2105636865519456,2025-02-17,445,9.72
POWERINDIA,55,22668.747,33490.0,1841950.0,0.47736440836363836,2026-02-16,81,5.6
ADANIPOWER,7016,177.381555,226.05,1585966.8,0.2743715094841739,2026-04-13,25,4.82
INDIANB,1799,697.980675,854.0,1536346.0,0.22352957694709819,2025-09-15,235,4.67
NAM-INDIA,1355,923.0549250000001,1098.3,1488196.5,0.1898533556927826,2026-02-16,81,4.53
BHARATFORG,717,1743.45495,2004.4,1437154.8,0.14967123182620812,2026-02-16,81,4.37
GLENMARK,599,2124.2650499999995,2366.7,1417653.2999999998,0.1141265069535462,2026-03-02,67,4.31
BSE,363,2717.9500500000004,3904.0,1417152.0,0.4363766545304979,2026-03-30,39,4.31
APARINDS,110,10136.732999999998,12825.0,1410750.0,0.26520053354468365,2026-03-30,39,4.29
VEDL,4668,262.74944999999997,298.65,1394098.2,0.13663415851108351,2026-01-19,109,4.24
KEI,263,4911.5535,5106.5,1343009.5,0.039691413317598956,2026-04-27,11,4.08
IPCALAB,831,1556.3064,1546.5,1285141.5,-0.006301072847865963,2026-04-27,11,3.91
TITAN,297,4279.066049999999,4281.4,1271575.7999999998,0.0005454344412374468,2026-03-02,67,3.87
AUBANK,1217,975.7726499999999,1043.6,1270061.2,0.06951142768758678,2026-02-01,96,3.86
OIL,2717,476.00010000000003,453.9,1233246.3,-0.04642877175866156,2026-04-27,11,3.75
BEL,2796,384.204375,438.3,1225486.8,0.1407990864237294,2025-05-26,347,3.73
FEDERALBNK,4145,286.49685,293.1,1214899.5,0.023047897385259253,2026-02-01,96,3.69
MFSL,709,1795.083,1698.2,1204023.8,-0.05397132054618092,2026-03-02,67,3.66
ASHOKLEY,7115,157.26891,167.37,1190837.55,0.06422814273971889,2026-03-30,39,3.62
NATIONALUM,2906,384.955875,397.3,1154553.8,0.03206633747309362,2026-03-30,39,3.51
MUTHOOTFIN,314,3339.3152999999998,3520.0,1105280.0,0.05410830777195552,2026-03-16,53,3.36
HINDALCO,973,940.3018499999998,1039.4,1011336.2000000001,0.10538972139637948,2026-01-19,109,3.08
LTF,3159,272.97987,302.45,955439.5499999999,0.10795715449641019,2026-04-13,25,2.91
ABCAPITAL,1715,291.0309,362.8,622202.0,0.24660302394006983,2025-09-15,235,1.89
CUMMINSIND,8,4814.0589,5395.5,43164.0,0.12077980599697269,2026-03-02,67,0.13
