label,universe,cadence,regime,bull_uc,bull_cr,bear_uc,bear_cr,passes,IS_cagr,IS_sharpe,IS_dd,OOS_A_cagr,OOS_A_sharpe,OOS_A_dd,OOS_B_cagr,OOS_B_sharpe,OOS_B_dd,OOS_C_cagr,OOS_C_sharpe,OOS_C_dd,OOS_full_cagr,OOS_full_sharpe,OOS_full_dd
NSE_500__monthly__NONE__base50_50,NSE_500,monthly,,0.5,0.5,0.5,0.5,False,23.67,1.14,-31.51,36.36,1.46,-35.89,63.9,1.9,-40.86,47.48,1.62,-33.58,48.78,1.67,-50.71
NSE_500__biweekly__NONE__base50_50,NSE_500,biweekly,,0.5,0.5,0.5,0.5,False,25.93,1.23,-30.09,38.0,1.58,-32.64,62.17,1.85,-42.51,48.07,1.67,-33.16,49.05,1.71,-48.6
Nifty_250__monthly__NONE__base50_50,Nifty_250,monthly,,0.5,0.5,0.5,0.5,True,27.21,1.41,-27.66,25.64,1.39,-22.45,59.22,1.93,-41.38,44.87,1.6,-29.4,42.53,1.65,-41.38
Nifty_250__biweekly__NONE__base50_50,Nifty_250,biweekly,,0.5,0.5,0.5,0.5,True,27.09,1.4,-28.22,23.2,1.3,-23.51,54.43,1.8,-40.77,51.06,1.78,-30.81,42.42,1.65,-40.77
NSE_500__monthly__NIFTY_50__bull0.7_0.3__bear0.3_0.7,NSE_500,monthly,NIFTY_50,0.7,0.3,0.3,0.7,False,24.57,1.16,-29.28,31.89,1.35,-37.35,60.2,1.85,-39.75,43.93,1.53,-34.39,44.88,1.59,-52.37
NSE_500__monthly__NIFTY_50__bull0.7_0.3__bear0.0_1.0,NSE_500,monthly,NIFTY_50,0.7,0.3,0.0,1.0,False,23.39,1.17,-27.73,36.03,1.48,-33.9,47.85,1.64,-39.16,40.51,1.54,-24.06,41.3,1.56,-50.3
NSE_500__monthly__NIFTY_50__bull0.6_0.4__bear0.4_0.6,NSE_500,monthly,NIFTY_50,0.6,0.4,0.4,0.6,False,27.33,1.26,-28.11,31.1,1.34,-37.89,58.72,1.84,-40.58,44.86,1.57,-32.16,44.43,1.59,-53.46
NSE_500__monthly__NIFTY_50__bull0.8_0.2__bear0.2_0.8,NSE_500,monthly,NIFTY_50,0.8,0.2,0.2,0.8,False,24.0,1.12,-28.96,33.19,1.39,-33.18,51.68,1.65,-38.73,40.44,1.43,-37.03,41.57,1.49,-50.92
NSE_500__monthly__NIFTY_50__bull0.5_0.5__bear0.0_1.0,NSE_500,monthly,NIFTY_50,0.5,0.5,0.0,1.0,True,24.76,1.34,-25.24,36.51,1.57,-27.86,56.33,1.84,-38.24,36.0,1.46,-27.33,42.41,1.62,-43.43
NSE_500__monthly__NIFTY_50__bull0.5_0.5__bear0.3_0.7,NSE_500,monthly,NIFTY_50,0.5,0.5,0.3,0.7,False,25.21,1.26,-28.95,38.08,1.57,-32.84,62.16,1.92,-38.96,40.27,1.44,-31.27,46.2,1.64,-48.32
