exit_buffer,window,start,end,yrs,cagr_pct,vol_pct,sharpe,sharpe_ar,sortino,max_dd_pct,calmar,n_trades,rt_per_year,hit_rate_pct,avg_hold_days,cost_pct_pv_yr,n_days
20,IS,2009-09-01,2016-12-31,7.32,35.39,19.7,1.8,1.47,2.11,-30.42,1.16,1444,97.0,53.5,89.2,1.49,2065
20,OOS_A,2017-01-01,2019-12-31,2.99,37.84,16.24,2.33,1.31,2.59,-23.24,1.63,796,133.0,49.0,63.2,2.0,1211
20,OOS_B,2020-01-01,2022-12-31,3.0,68.75,27.8,2.47,2.04,2.91,-37.24,1.85,506,84.5,54.2,104.5,1.12,748
20,OOS_C,2023-01-01,2026-05-08,3.35,33.59,25.29,1.33,1.29,1.54,-30.28,1.11,634,94.7,48.6,94.2,1.43,829
20,OOS_FULL,2017-01-01,2026-05-08,9.34,45.43,22.63,2.01,1.51,2.22,-37.24,1.22,1936,103.6,50.2,84.1,1.51,2788
20,LIVE_2026,2026-05-09,2026-08-21,0.28,19.68,19.81,0.99,0.98,1.66,-7.45,2.64,50,89.5,48.0,84.1,1.28,73
20,FULL,2009-09-01,2026-08-21,16.96,40.58,21.4,1.9,1.49,2.16,-37.24,1.09,3430,100.4,51.6,86.2,1.5,4926
25,IS,2009-09-01,2016-12-31,7.32,36.22,19.74,1.84,1.5,2.14,-30.76,1.18,1354,90.8,52.5,95.3,1.39,2065
25,OOS_A,2017-01-01,2019-12-31,2.99,36.61,16.25,2.25,1.28,2.51,-23.73,1.54,740,123.6,48.4,68.3,1.85,1211
25,OOS_B,2020-01-01,2022-12-31,3.0,67.41,27.77,2.43,2.02,2.84,-37.67,1.79,474,79.1,54.0,111.0,1.06,748
25,OOS_C,2023-01-01,2026-05-08,3.35,36.0,25.66,1.4,1.35,1.61,-28.89,1.25,568,84.9,46.5,104.9,1.26,829
25,OOS_FULL,2017-01-01,2026-05-08,9.34,45.57,22.74,2.0,1.51,2.2,-37.67,1.21,1782,95.4,49.3,91.3,1.39,2788
25,LIVE_2026,2026-05-09,2026-08-21,0.28,15.85,20.03,0.79,0.82,1.41,-8.17,1.94,42,75.2,52.4,100.0,1.1,73
25,FULL,2009-09-01,2026-08-21,16.96,40.95,21.49,1.91,1.5,2.15,-37.67,1.09,3178,93.0,50.7,93.1,1.38,4926
30,IS,2009-09-01,2016-12-31,7.32,37.91,19.65,1.93,1.56,2.26,-28.78,1.32,1242,83.2,52.5,104.0,1.27,2065
30,OOS_A,2017-01-01,2019-12-31,2.99,36.64,16.27,2.25,1.28,2.5,-23.71,1.55,690,115.3,50.1,71.9,1.73,1211
30,OOS_B,2020-01-01,2022-12-31,3.0,63.95,27.79,2.3,1.94,2.77,-37.36,1.71,430,71.8,54.9,123.7,0.95,748
30,OOS_C,2023-01-01,2026-05-08,3.35,35.89,25.67,1.4,1.35,1.6,-28.47,1.26,532,79.5,48.5,112.1,1.19,829
30,OOS_FULL,2017-01-01,2026-05-08,9.34,44.54,22.76,1.96,1.48,2.17,-37.36,1.19,1652,88.4,50.8,98.4,1.28,2788
30,LIVE_2026,2026-05-09,2026-08-21,0.28,22.28,19.21,1.16,1.12,2.03,-6.78,3.28,40,71.6,55.0,107.6,1.04,73
30,FULL,2009-09-01,2026-08-21,16.96,41.32,21.46,1.93,1.51,2.19,-37.36,1.11,2934,85.8,51.6,100.9,1.27,4926
40,IS,2009-09-01,2016-12-31,7.32,38.46,19.46,1.98,1.59,2.31,-30.47,1.26,1080,72.1,55.5,120.0,1.1,2065
40,OOS_A,2017-01-01,2019-12-31,2.99,39.26,16.36,2.4,1.34,2.7,-24.36,1.61,598,99.9,51.5,82.1,1.49,1211
40,OOS_B,2020-01-01,2022-12-31,3.0,59.13,27.68,2.14,1.84,2.5,-37.72,1.57,396,66.1,56.6,135.5,0.91,748
40,OOS_C,2023-01-01,2026-05-08,3.35,37.35,25.44,1.47,1.4,1.7,-28.96,1.29,480,71.7,49.6,124.0,1.05,829
40,OOS_FULL,2017-01-01,2026-05-08,9.34,44.58,22.67,1.97,1.49,2.17,-37.72,1.18,1474,78.9,52.2,110.1,1.14,2788
40,LIVE_2026,2026-05-09,2026-08-21,0.28,23.92,19.41,1.23,1.18,2.13,-6.74,3.55,40,71.6,60.0,118.2,1.04,73
40,FULL,2009-09-01,2026-08-21,16.96,41.58,21.33,1.95,1.52,2.21,-37.72,1.1,2594,75.8,53.7,114.3,1.12,4926
