config,flips,flips_per_yr,bear_pct,trades_per_yr,cagr_pct,sharpe,max_dd_pct,calmar,ulcer,pct_12m_neg,median_12m,avg_cash_pct
production,0,0.0,0.0,420.0,41.34,1.83,-37.1,1.11,11.92,22.5,20.2,0.6
daily_entry_gate,70,6.3,31.3,337.0,37.13,1.85,-30.5,1.22,12.07,25.9,16.8,14.1
daily_exposure_75,70,6.3,31.3,485.0,34.69,1.88,-26.6,1.3,11.0,25.2,17.3,19.9
daily_exposure_50,70,6.3,31.3,488.0,31.38,1.85,-25.8,1.22,10.33,25.3,17.9,27.1
weekly_entry_gate,66,5.9,31.5,335.0,36.57,1.82,-29.9,1.22,12.19,26.5,16.7,14.5
weekly_exposure_75,66,5.9,31.5,459.0,34.74,1.86,-27.4,1.27,11.52,27.0,17.3,19.9
weekly_exposure_50,66,5.9,31.5,461.0,32.26,1.86,-27.7,1.16,11.0,26.2,18.1,26.5
monthly_entry_gate,40,3.6,35.7,313.0,34.45,1.75,-35.9,0.96,12.42,23.1,14.7,19.5
monthly_exposure_75,40,3.6,35.7,390.0,32.77,1.77,-36.8,0.89,12.4,23.0,15.1,24.2
monthly_exposure_50,40,3.6,35.7,391.0,30.69,1.75,-37.5,0.82,12.44,21.2,15.1,29.7
deadband_entry_gate,52,4.7,24.6,357.0,38.14,1.86,-33.5,1.14,12.35,23.8,17.2,11.1
deadband_exposure_75,52,4.7,24.6,469.0,36.14,1.89,-31.7,1.14,11.99,22.0,17.6,15.8
deadband_exposure_50,52,4.7,24.6,478.0,33.4,1.86,-33.1,1.01,11.96,21.2,17.8,21.9
