config,cagr_pct,sharpe,max_dd_pct,calmar,ulcer,pct_days_dd_gt_20,pct_12m_neg,worst_12m,median_12m,stop_exits,n_exits,bear18_cagr,bear18_dd,covid_cagr,covid_dd
N100_MA | none | stop:always20,29.61,1.6,-34.78,0.85,10.44,8.0,21.6,-19.1,17.5,298,872,-3.23,-24.35,39.26,-34.78
N100_MA | none | stop:off,32.5,1.69,-35.93,0.9,9.35,4.1,18.5,-19.9,18.8,0,675,-1.71,-23.27,81.07,-35.93
N100_MA | roc31@75 | stop:always20,26.97,1.77,-21.94,1.23,8.78,1.1,21.4,-14.4,16.6,259,730,-4.3,-21.46,31.21,-21.94
N100_MA | roc31@75 | stop:off,30.73,1.96,-25.7,1.2,7.59,0.3,16.9,-11.9,19.1,0,580,-1.66,-17.89,58.44,-25.7
N100_ROC31 | none | stop:always20,30.76,1.68,-32.59,0.94,10.01,6.6,20.8,-17.7,17.6,282,965,-2.58,-23.97,41.67,-32.59
N100_ROC31 | none | stop:off,33.04,1.73,-34.55,0.96,9.18,3.5,17.5,-18.6,19.2,0,757,-1.53,-22.43,78.18,-34.55
N100_ROC31 | roc31@75 | stop:always20,27.92,1.84,-23.28,1.2,8.93,2.9,22.4,-13.7,18.1,244,770,-4.48,-21.65,38.99,-22.58
N100_ROC31 | roc31@75 | stop:off,30.63,1.96,-26.63,1.15,8.05,0.5,17.9,-13.4,20.0,0,614,-2.74,-20.09,58.87,-26.63
N500_ROC31 | none | stop:always20,31.32,1.7,-34.95,0.9,9.63,4.4,19.0,-18.6,18.2,285,964,-1.64,-22.45,36.21,-34.95
N500_ROC31 | none | stop:off,33.85,1.76,-35.84,0.94,8.82,2.6,15.6,-20.3,19.1,0,758,-1.0,-21.09,79.09,-35.84
N500_ROC31 | roc31@75 | stop:always20,28.29,1.85,-21.31,1.33,8.66,1.0,21.8,-13.6,18.1,249,747,-4.17,-21.0,35.67,-21.31
N500_ROC31 | roc31@75 | stop:off,31.54,1.97,-25.09,1.26,7.75,0.3,17.4,-12.3,19.8,0,590,-2.2,-19.05,60.99,-25.09
