portfolio,variant,max_dd_pct,avg_dd_pct,pct_days_underwater,pct_days_dd_gt_10,pct_days_dd_gt_20,longest_uw_days,median_uw_days,n_uw_episodes,ulcer_index,pct_12m_negative,median_12m,avg_cash_pct,avg_holdings
l6,production,-37.1,-9.0,86.5,44.4,9.7,774,5,119,11.92,22.5,20.2,0.6,24.0
l6,ma_N100_exposure_00,-34.7,-10.9,88.7,50.9,15.2,1033,5,99,14.07,23.6,14.2,32.1,16.4
l6,ma_N100_exposure_25,-35.2,-9.4,88.0,35.5,14.5,1053,4,108,13.12,20.8,15.8,33.0,19.7
l6,ma_N100_exposure_50,-34.4,-9.1,87.3,36.3,14.3,1033,4,113,12.58,20.7,15.1,27.2,19.7
l6,ma_N100_exposure_75,-33.2,-9.0,87.3,37.6,12.4,961,5,106,12.11,20.6,15.0,21.7,19.7
l6,ma_N100_entry_gate,-33.8,-9.1,87.4,41.4,12.4,937,5,110,11.89,21.3,14.7,17.0,19.7
l6,ma_N100_scaled_50,-30.7,-8.7,87.6,38.9,9.6,1037,5,113,11.51,23.4,16.6,21.8,24.0
l6,roc31_N500_exposure_00,-29.5,-8.9,88.5,40.3,8.5,774,4,106,11.69,30.1,19.3,34.0,15.9
l6,roc31_N500_exposure_25,-25.1,-7.4,88.2,28.6,6.4,774,4,107,9.77,27.1,18.5,34.8,20.4
l6,roc31_N500_exposure_50,-25.8,-7.8,87.4,34.5,6.4,774,4,114,10.33,25.3,17.9,27.1,20.4
l6,roc31_N500_exposure_75,-26.6,-8.3,86.8,37.9,8.5,774,4,123,11.0,25.2,17.3,19.9,20.4
l6,roc31_N500_entry_gate,-30.5,-9.2,87.0,42.1,11.2,774,5,116,12.07,25.9,16.8,14.1,20.4
l6,roc31_N500_scaled_50,-26.7,-7.7,87.6,35.5,4.1,927,4,115,10.03,24.8,18.0,24.2,24.0
om25,production,-34.8,-7.7,87.6,33.9,8.0,759,5,124,10.44,21.6,17.5,1.5,24.7
om25,ma_N100_exposure_00,-30.9,-9.5,89.5,32.5,17.5,1049,5,99,12.85,25.1,12.3,35.3,16.3
om25,ma_N100_exposure_25,-24.4,-7.8,89.9,33.2,9.6,1034,5,106,10.54,25.4,12.0,39.2,20.1
om25,ma_N100_exposure_50,-26.3,-8.1,89.9,36.0,12.7,1043,5,107,10.94,26.8,11.8,31.5,20.1
om25,ma_N100_exposure_75,-29.0,-8.6,89.6,36.7,12.8,1084,5,101,11.5,27.3,11.2,24.1,20.1
om25,ma_N100_entry_gate,-32.0,-9.2,89.2,39.9,12.7,1091,5,105,12.19,29.1,11.8,18.7,20.1
om25,ma_N100_scaled_50,-25.1,-6.5,88.8,27.0,1.6,1016,5,126,8.79,22.4,13.7,28.1,24.7
om25,roc31_N500_exposure_00,-22.7,-6.6,88.9,28.4,1.9,926,5,113,8.69,23.4,17.8,37.0,15.9
om25,roc31_N500_exposure_25,-14.2,-4.5,88.0,11.4,0.0,714,5,135,5.86,21.6,16.0,43.3,21.4
om25,roc31_N500_exposure_50,-18.0,-5.5,87.3,20.7,0.0,745,4,139,7.22,20.8,16.3,32.2,21.4
om25,roc31_N500_exposure_75,-21.9,-6.6,87.9,27.3,1.1,772,5,132,8.78,21.4,16.6,21.6,21.4
om25,roc31_N500_entry_gate,-29.2,-7.8,87.8,36.0,5.8,1043,5,122,10.44,22.5,16.0,13.8,21.4
om25,roc31_N500_scaled_50,-18.8,-5.3,88.0,19.6,0.0,730,5,141,7.07,20.1,15.6,32.7,24.7
