arm,bear_pct,max_dd_pct,avg_dd_pct,pct_days_underwater,pct_days_dd_gt_10,pct_days_dd_gt_20,longest_uw_days,median_uw_days,n_uw_episodes,ulcer_index,pct_12m_negative,median_12m
ma_NIFTY_100,30.0,-36.7,-10.8,88.0,43.8,19.3,1051,5,94,14.72,26.7,16.9
ma_NIFTY_500,31.4,-34.5,-11.1,87.7,51.4,19.4,1051,4,98,14.59,26.2,15.9
ma_NIFTY_200,32.1,-32.5,-10.8,87.8,51.8,17.4,1042,5,95,13.99,27.1,16.6
ma_NIFTY_MIDCAP_50,30.9,-38.9,-11.0,87.8,48.3,15.9,1053,5,95,14.8,29.0,17.6
roc21_NIFTY_500,34.7,-22.8,-7.8,88.7,37.5,2.3,937,5,105,9.91,26.9,13.1
roc42_NIFTY_500,31.4,-33.6,-9.3,87.2,35.9,13.4,973,5,107,12.55,22.5,17.5
roc63_NIFTY_500,33.0,-39.3,-10.9,87.9,41.9,16.7,1081,5,95,15.43,24.5,18.2
roc126_NIFTY_500,31.1,-49.0,-13.0,89.2,48.7,19.7,1142,5,90,18.11,34.9,13.4
roc252_NIFTY_500,19.6,-46.2,-13.0,88.1,52.4,23.1,1151,5,90,17.33,30.5,14.7
roc126_NIFTY_100,30.2,-48.6,-12.8,89.0,48.1,21.6,1142,5,87,17.99,35.5,11.9
roc126_NIFTY_MIDCAP_50,28.6,-48.9,-12.7,87.7,48.1,22.9,1143,4,97,17.79,36.7,14.8
