window,start,end,n_days,yrs,cagr_pct,vol_pct,sharpe,sharpe_ar,sortino,max_dd_pct,calmar,n_trades,rt_per_year,hit_rate_pct,avg_hold_days,cost_pct_pv_yr,arm,bear_pct
BEAR_2018,2018-01-15,2019-12-31,696,1.96,-17.38,11.34,-1.53,-1.14,-1.4,-36.74,-0.47,1238,161.4,20.3,42.9,2.67,ma_NIFTY_100,30.0
COVID,2020-01-01,2020-12-31,252,1.0,51.84,19.17,2.7,2.28,3.26,-16.4,3.16,241,108.1,36.1,50.7,1.58,ma_NIFTY_100,30.0
POST2021,2021-01-01,2026-08-21,1398,5.63,35.38,19.28,1.84,1.7,2.06,-16.36,2.16,1903,113.8,32.6,62.7,1.74,ma_NIFTY_100,30.0
EVAL,2015-07-01,2026-08-21,3473,11.11,28.1,16.23,1.73,1.31,1.71,-36.74,0.76,4208,125.3,33.0,52.8,1.96,ma_NIFTY_100,30.0
BEAR_2018,2018-01-15,2019-12-31,696,1.96,-15.8,10.26,-1.54,-1.14,-1.36,-33.72,-0.47,1143,141.0,17.0,44.7,2.33,ma_NIFTY_500,31.4
COVID,2020-01-01,2020-12-31,252,1.0,47.03,19.83,2.37,2.05,2.71,-18.75,2.51,250,108.1,36.1,48.8,1.59,ma_NIFTY_500,31.4
POST2021,2021-01-01,2026-08-21,1398,5.63,36.48,19.4,1.88,1.73,2.11,-19.54,1.87,2119,119.8,32.9,62.1,1.84,ma_NIFTY_500,31.4
EVAL,2015-07-01,2026-08-21,3473,11.11,28.28,16.33,1.73,1.31,1.69,-34.46,0.82,4401,125.5,32.9,53.1,1.96,ma_NIFTY_500,31.4
BEAR_2018,2018-01-15,2019-12-31,696,1.96,-14.97,10.58,-1.42,-1.04,-1.26,-32.46,-0.46,1008,143.0,20.7,44.6,2.36,ma_NIFTY_200,32.1
COVID,2020-01-01,2020-12-31,252,1.0,51.17,19.22,2.66,2.25,3.2,-16.46,3.11,241,108.1,36.1,48.8,1.59,ma_NIFTY_200,32.1
POST2021,2021-01-01,2026-08-21,1398,5.63,34.87,19.31,1.81,1.67,2.02,-19.44,1.79,2016,116.4,32.8,63.2,1.75,ma_NIFTY_200,32.1
EVAL,2015-07-01,2026-08-21,3473,11.11,28.21,16.26,1.73,1.31,1.69,-32.46,0.87,4053,123.3,33.5,53.6,1.9,ma_NIFTY_200,32.1
BEAR_2018,2018-01-15,2019-12-31,696,1.96,-17.46,9.05,-1.93,-1.46,-1.64,-34.39,-0.51,996,120.0,14.5,46.4,1.96,ma_NIFTY_MIDCAP_50,30.9
COVID,2020-01-01,2020-12-31,252,1.0,49.17,20.9,2.35,2.03,2.72,-21.34,2.3,278,115.1,34.8,47.6,1.64,ma_NIFTY_MIDCAP_50,30.9
POST2021,2021-01-01,2026-08-21,1398,5.63,38.83,19.72,1.97,1.79,2.28,-16.14,2.41,2098,132.4,38.5,58.7,1.99,ma_NIFTY_MIDCAP_50,30.9
EVAL,2015-07-01,2026-08-21,3473,11.11,28.96,16.62,1.74,1.32,1.75,-38.92,0.74,4554,133.8,34.9,52.1,2.06,ma_NIFTY_MIDCAP_50,30.9
BEAR_2018,2018-01-15,2019-12-31,696,1.96,-6.69,9.48,-0.71,-0.47,-0.71,-22.79,-0.29,1273,159.4,15.4,43.7,2.63,roc21_NIFTY_500,34.7
COVID,2020-01-01,2020-12-31,252,1.0,30.6,16.5,1.85,1.71,2.15,-11.43,2.68,424,120.1,20.0,53.0,1.95,roc21_NIFTY_500,34.7
POST2021,2021-01-01,2026-08-21,1398,5.63,27.25,16.91,1.61,1.53,1.85,-21.92,1.24,2747,121.8,23.8,62.2,2.01,roc21_NIFTY_500,34.7
EVAL,2015-07-01,2026-08-21,3473,11.11,21.39,13.98,1.53,1.19,1.58,-22.79,0.94,6097,134.3,21.8,53.3,2.24,roc21_NIFTY_500,34.7
BEAR_2018,2018-01-15,2019-12-31,696,1.96,-12.06,11.15,-1.08,-0.76,-1.02,-33.61,-0.36,1011,157.8,22.7,42.5,2.58,roc42_NIFTY_500,31.4
COVID,2020-01-01,2020-12-31,252,1.0,63.16,20.07,3.15,2.55,4.05,-16.82,3.76,266,121.1,39.7,49.8,1.7,roc42_NIFTY_500,31.4
POST2021,2021-01-01,2026-08-21,1398,5.63,33.66,19.11,1.76,1.64,1.96,-23.06,1.46,2135,113.1,30.6,63.8,1.78,roc42_NIFTY_500,31.4
EVAL,2015-07-01,2026-08-21,3473,11.11,29.35,16.28,1.8,1.36,1.81,-33.61,0.87,4474,129.4,31.8,53.3,2.05,roc42_NIFTY_500,31.4
BEAR_2018,2018-01-15,2019-12-31,696,1.96,-20.15,11.36,-1.77,-1.35,-1.59,-38.49,-0.52,1142,144.1,16.3,44.4,2.36,roc63_NIFTY_500,33.0
COVID,2020-01-01,2020-12-31,252,1.0,54.91,19.58,2.8,2.34,3.39,-16.66,3.3,260,118.1,37.3,44.7,1.69,roc63_NIFTY_500,33.0
POST2021,2021-01-01,2026-08-21,1398,5.63,37.72,19.31,1.95,1.78,2.19,-16.48,2.29,1969,112.0,35.2,62.5,1.7,roc63_NIFTY_500,33.0
EVAL,2015-07-01,2026-08-21,3473,11.11,28.51,16.46,1.73,1.31,1.71,-39.32,0.73,4212,122.3,33.0,53.4,1.89,roc63_NIFTY_500,33.0
BEAR_2018,2018-01-15,2019-12-31,696,1.96,-21.62,12.36,-1.75,-1.34,-1.61,-42.23,-0.51,991,154.3,22.5,42.4,2.49,roc126_NIFTY_500,31.1
COVID,2020-01-01,2020-12-31,252,1.0,21.52,19.83,1.09,1.09,1.03,-25.97,0.83,204,84.1,26.2,55.3,1.25,roc126_NIFTY_500,31.1
POST2021,2021-01-01,2026-08-21,1398,5.63,31.84,19.26,1.65,1.56,1.84,-21.41,1.49,2197,128.1,34.1,59.5,1.92,roc126_NIFTY_500,31.1
EVAL,2015-07-01,2026-08-21,3473,11.11,22.99,16.42,1.4,1.1,1.39,-49.03,0.47,4442,131.4,33.2,52.0,2.03,roc126_NIFTY_500,31.1
BEAR_2018,2018-01-15,2019-12-31,696,1.96,-18.46,12.83,-1.44,-1.06,-1.4,-38.76,-0.48,954,171.6,30.7,43.8,2.75,roc252_NIFTY_500,19.6
COVID,2020-01-01,2020-12-31,252,1.0,16.07,21.36,0.75,0.81,0.73,-28.9,0.56,373,95.1,24.2,54.3,1.54,roc252_NIFTY_500,19.6
POST2021,2021-01-01,2026-08-21,1398,5.63,33.72,21.75,1.55,1.47,1.76,-28.19,1.2,2273,143.6,34.7,59.1,2.16,roc252_NIFTY_500,19.6
EVAL,2015-07-01,2026-08-21,3473,11.11,25.09,18.41,1.36,1.07,1.35,-46.16,0.54,4434,146.1,36.3,52.6,2.25,roc252_NIFTY_500,19.6
BEAR_2018,2018-01-15,2019-12-31,696,1.96,-21.3,12.81,-1.66,-1.26,-1.59,-41.78,-0.51,962,163.5,23.4,42.4,2.68,roc126_NIFTY_100,30.2
COVID,2020-01-01,2020-12-31,252,1.0,21.75,19.86,1.09,1.09,1.04,-26.06,0.83,205,84.1,26.2,55.3,1.25,roc126_NIFTY_100,30.2
POST2021,2021-01-01,2026-08-21,1398,5.63,33.49,19.67,1.7,1.59,1.89,-21.8,1.54,1937,127.4,37.2,59.8,1.85,roc126_NIFTY_100,30.2
EVAL,2015-07-01,2026-08-21,3473,11.11,23.92,16.54,1.45,1.13,1.42,-48.65,0.49,3893,128.3,35.2,52.5,1.96,roc126_NIFTY_100,30.2
BEAR_2018,2018-01-15,2019-12-31,696,1.96,-20.7,9.8,-2.11,-1.63,-1.7,-37.82,-0.55,925,101.7,11.1,48.1,1.66,roc126_NIFTY_MIDCAP_50,28.6
