arm,lookback,confirm,bear_pct,max_dd_pct,avg_dd_pct,pct_days_underwater,pct_days_dd_gt_10,pct_days_dd_gt_20,longest_uw_days,median_uw_days,n_uw_episodes,ulcer_index,pct_12m_negative,median_12m
roc10_c1,10,1,38.0,-23.1,-7.4,90.8,36.4,0.7,1053,5,92,9.51,33.4,8.3
roc10_c2,10,2,37.8,-21.4,-7.2,90.2,36.2,0.5,1046,4,96,9.26,30.9,9.0
roc10_c3,10,3,36.2,-21.4,-7.0,89.3,33.2,0.8,1051,5,106,9.1,29.6,11.0
roc10_c5,10,5,35.9,-27.3,-7.4,88.6,28.6,8.5,1042,5,107,10.15,25.5,12.2
roc10_c8,10,8,31.7,-25.0,-7.8,88.4,33.5,4.3,937,5,115,10.23,21.3,15.9
roc15_c1,15,1,36.5,-25.3,-8.2,89.8,37.7,6.9,1050,5,93,10.63,30.5,11.2
roc15_c2,15,2,36.5,-28.7,-8.6,89.8,38.1,10.5,1052,3,95,11.24,28.7,7.6
roc15_c3,15,3,35.9,-24.8,-7.6,90.3,35.1,3.3,937,5,96,9.76,23.0,10.0
roc15_c5,15,5,34.8,-29.2,-8.9,89.1,43.2,10.4,961,5,101,11.63,23.9,13.8
roc15_c8,15,8,35.1,-29.0,-8.8,87.7,38.9,10.7,973,4,118,11.69,21.7,17.1
roc21_c1,21,1,35.0,-26.7,-8.4,90.4,41.0,7.1,1053,5,90,10.75,30.5,9.4
roc21_c2,21,2,35.0,-26.3,-8.3,89.3,38.0,7.3,1051,5,98,10.79,27.6,11.8
roc21_c3,21,3,34.7,-22.8,-7.8,88.7,37.5,2.3,937,5,105,9.91,26.9,13.1
roc21_c5,21,5,34.9,-26.2,-7.2,87.4,27.4,7.5,883,3,118,9.69,21.2,16.2
roc21_c8,21,8,32.5,-28.7,-9.2,87.4,43.5,12.9,973,5,106,11.96,22.5,16.0
roc31_c1,31,1,31.8,-29.3,-8.9,88.6,42.8,9.0,1042,4,102,11.47,26.4,13.7
roc31_c2,31,2,31.3,-29.1,-8.9,87.8,42.3,10.8,972,5,97,11.55,24.0,18.2
roc31_c3,31,3,31.3,-26.4,-7.8,87.1,37.5,3.6,951,5,108,10.07,21.5,20.2
roc31_c5,31,5,30.6,-31.3,-9.5,87.1,44.4,13.4,972,5,106,12.43,23.8,16.6
roc31_c8,31,8,30.6,-30.7,-11.2,87.3,53.8,21.5,1024,5,99,14.32,28.1,15.1
roc42_c1,42,1,31.4,-31.1,-8.7,87.6,31.4,14.5,1033,5,98,12.01,22.4,14.9
roc42_c2,42,2,31.1,-31.4,-9.2,87.5,40.0,12.7,973,4,104,12.06,24.2,16.2
roc42_c3,42,3,31.4,-33.6,-9.3,87.2,35.9,13.4,973,5,107,12.55,22.5,17.5
roc42_c5,42,5,31.5,-31.9,-9.7,87.8,43.2,13.9,972,5,101,12.75,23.6,15.7
roc42_c8,42,8,30.9,-35.9,-10.0,87.9,40.9,14.6,1039,5,101,13.7,24.1,16.9
roc52_c1,52,1,32.8,-36.3,-10.6,87.8,40.6,19.9,1053,5,105,14.76,24.4,16.8
roc52_c2,52,2,33.2,-37.4,-11.1,87.6,43.7,20.3,1056,5,105,15.36,24.7,17.5
roc52_c3,52,3,32.8,-39.3,-11.1,87.6,40.0,20.4,1056,5,104,15.64,24.7,17.2
roc52_c5,52,5,32.6,-41.8,-11.7,88.2,46.3,19.9,1084,5,98,16.21,25.1,17.6
roc52_c8,52,8,32.2,-44.7,-11.2,87.1,39.5,18.9,1113,5,104,16.28,25.0,18.4
roc63_c1,63,1,33.4,-34.6,-10.5,88.0,44.9,15.6,1052,5,98,14.11,26.5,17.5
roc63_c2,63,2,33.2,-37.2,-10.5,87.8,41.0,16.7,1081,5,94,14.67,24.4,18.4
roc63_c3,63,3,33.0,-39.3,-10.9,87.9,41.9,16.7,1081,5,95,15.43,24.5,18.2
roc63_c5,63,5,33.6,-37.9,-10.7,87.8,44.4,15.7,1053,5,98,14.72,24.7,17.0
roc63_c8,63,8,33.0,-34.8,-10.3,87.9,45.8,15.1,1042,5,98,13.72,24.7,17.2
