window,start,end,n_days,yrs,cagr_pct,vol_pct,sharpe,sharpe_ar,sortino,max_dd_pct,calmar,n_trades,rt_per_year,hit_rate_pct,avg_hold_days,cost_pct_pv_yr,arm,bear_pct,lookback,confirm
BEAR_2018,2018-01-15,2019-12-31,696,1.96,-8.12,7.85,-1.03,-0.73,-1.04,-20.19,-0.4,1346,152.2,11.4,44.4,2.51,roc10_c1,38.0,10,1
COVID,2020-01-01,2020-12-31,252,1.0,18.35,13.54,1.36,1.32,1.65,-14.2,1.29,594,126.1,8.7,51.5,2.13,roc10_c1,38.0,10,1
POST2021,2021-01-01,2026-08-21,1398,5.63,15.87,13.06,1.22,1.21,1.34,-19.99,0.79,4017,121.2,8.8,63.5,2.02,roc10_c1,38.0,10,1
EVAL,2015-07-01,2026-08-21,3473,11.11,12.44,11.22,1.11,0.9,1.14,-23.15,0.54,8139,134.6,10.6,54.0,2.26,roc10_c1,38.0,10,1
BEAR_2018,2018-01-15,2019-12-31,696,1.96,-6.87,8.64,-0.79,-0.54,-0.81,-21.14,-0.32,1418,159.9,14.1,43.6,2.65,roc10_c2,37.8,10,2
COVID,2020-01-01,2020-12-31,252,1.0,20.35,14.69,1.39,1.34,1.66,-14.64,1.39,551,126.1,17.5,51.8,2.11,roc10_c2,37.8,10,2
POST2021,2021-01-01,2026-08-21,1398,5.63,19.57,13.62,1.44,1.4,1.6,-17.77,1.1,3937,120.0,9.3,63.9,2.0,roc10_c2,37.8,10,2
EVAL,2015-07-01,2026-08-21,3473,11.11,14.99,11.79,1.27,1.01,1.31,-21.37,0.7,8074,135.8,12.1,53.9,2.28,roc10_c2,37.8,10,2
BEAR_2018,2018-01-15,2019-12-31,696,1.96,-6.84,9.26,-0.74,-0.5,-0.76,-21.28,-0.32,1296,166.5,15.3,43.1,2.75,roc10_c3,36.2,10,3
COVID,2020-01-01,2020-12-31,252,1.0,18.52,14.56,1.27,1.24,1.51,-14.87,1.25,509,124.1,16.1,51.2,2.04,roc10_c3,36.2,10,3
POST2021,2021-01-01,2026-08-21,1398,5.63,21.43,14.45,1.48,1.44,1.69,-19.74,1.09,4065,126.9,11.2,62.4,2.13,roc10_c3,36.2,10,3
EVAL,2015-07-01,2026-08-21,3473,11.11,17.1,12.37,1.38,1.09,1.46,-21.39,0.8,8067,141.0,14.2,53.0,2.37,roc10_c3,36.2,10,3
BEAR_2018,2018-01-15,2019-12-31,696,1.96,-11.27,9.82,-1.15,-0.81,-1.07,-27.31,-0.41,1424,165.0,14.6,44.0,2.71,roc10_c5,35.9,10,5
COVID,2020-01-01,2020-12-31,252,1.0,33.84,13.94,2.43,2.17,2.9,-6.28,5.39,345,108.1,21.3,53.0,1.81,roc10_c5,35.9,10,5
POST2021,2021-01-01,2026-08-21,1398,5.63,25.26,15.11,1.67,1.59,1.91,-19.75,1.28,3160,121.2,15.5,63.2,2.02,roc10_c5,35.9,10,5
EVAL,2015-07-01,2026-08-21,3473,11.11,20.4,12.77,1.6,1.24,1.67,-27.31,0.75,6325,133.6,18.7,53.8,2.23,roc10_c5,35.9,10,5
BEAR_2018,2018-01-15,2019-12-31,696,1.96,-8.53,9.8,-0.87,-0.6,-0.83,-25.01,-0.34,1009,145.6,21.8,45.9,2.34,roc10_c8,31.7,10,8
COVID,2020-01-01,2020-12-31,252,1.0,41.32,17.71,2.33,2.05,2.81,-11.29,3.66,418,120.1,23.3,52.0,1.95,roc10_c8,31.7,10,8
POST2021,2021-01-01,2026-08-21,1398,5.63,34.91,17.78,1.96,1.8,2.23,-17.83,1.96,2602,121.0,23.8,63.2,2.0,roc10_c8,31.7,10,8
EVAL,2015-07-01,2026-08-21,3473,11.11,25.36,15.19,1.67,1.28,1.67,-25.01,1.01,5768,134.1,25.5,53.8,2.21,roc10_c8,31.7,10,8
BEAR_2018,2018-01-15,2019-12-31,696,1.96,-10.8,8.32,-1.3,-0.93,-1.3,-25.25,-0.43,1510,168.6,10.6,42.8,2.79,roc15_c1,36.5,15,1
COVID,2020-01-01,2020-12-31,252,1.0,30.23,13.51,2.24,2.03,2.83,-6.78,4.46,469,120.1,18.3,52.7,1.97,roc15_c1,36.5,15,1
POST2021,2021-01-01,2026-08-21,1398,5.63,20.93,14.16,1.48,1.44,1.69,-21.08,0.99,3151,118.6,13.3,63.1,1.98,roc15_c1,36.5,15,1
EVAL,2015-07-01,2026-08-21,3473,11.11,16.87,11.99,1.41,1.11,1.48,-25.25,0.67,6772,133.6,15.2,53.5,2.24,roc15_c1,36.5,15,1
BEAR_2018,2018-01-15,2019-12-31,696,1.96,-11.53,8.71,-1.32,-0.95,-1.29,-28.66,-0.4,1650,165.5,10.2,42.8,2.73,roc15_c2,36.5,15,2
COVID,2020-01-01,2020-12-31,252,1.0,29.51,13.48,2.19,1.99,2.67,-6.3,4.69,440,116.1,19.0,52.3,1.91,roc15_c2,36.5,15,2
POST2021,2021-01-01,2026-08-21,1398,5.63,22.14,15.49,1.43,1.39,1.6,-22.01,1.01,3037,120.3,16.4,63.0,2.01,roc15_c2,36.5,15,2
EVAL,2015-07-01,2026-08-21,3473,11.11,16.67,12.67,1.32,1.05,1.34,-28.66,0.58,6838,132.9,17.1,53.3,2.22,roc15_c2,36.5,15,2
BEAR_2018,2018-01-15,2019-12-31,696,1.96,-6.82,8.99,-0.76,-0.51,-0.75,-24.78,-0.28,1389,158.9,15.4,43.6,2.61,roc15_c3,35.9,15,3
COVID,2020-01-01,2020-12-31,252,1.0,28.6,15.39,1.86,1.72,2.17,-10.58,2.7,532,120.1,19.2,53.4,1.97,roc15_c3,35.9,15,3
POST2021,2021-01-01,2026-08-21,1398,5.63,25.55,16.81,1.52,1.46,1.68,-21.57,1.18,2833,121.6,21.2,62.4,2.02,roc15_c3,35.9,15,3
EVAL,2015-07-01,2026-08-21,3473,11.11,18.73,13.95,1.34,1.06,1.32,-24.78,0.76,6631,135.4,20.1,53.2,2.26,roc15_c3,35.9,15,3
BEAR_2018,2018-01-15,2019-12-31,696,1.96,-9.76,10.37,-0.94,-0.65,-0.88,-29.25,-0.33,1033,154.8,22.8,44.4,2.52,roc15_c5,34.8,15,5
COVID,2020-01-01,2020-12-31,252,1.0,32.3,16.49,1.96,1.79,2.31,-11.38,2.84,473,118.1,22.9,53.0,1.95,roc15_c5,34.8,15,5
POST2021,2021-01-01,2026-08-21,1398,5.63,29.05,17.33,1.68,1.58,1.85,-22.69,1.28,2277,117.3,23.3,63.3,1.94,roc15_c5,34.8,15,5
EVAL,2015-07-01,2026-08-21,3473,11.11,21.53,14.66,1.47,1.15,1.44,-29.25,0.74,5201,130.9,23.9,53.8,2.16,roc15_c5,34.8,15,5
BEAR_2018,2018-01-15,2019-12-31,696,1.96,-11.04,10.48,-1.05,-0.74,-0.95,-28.96,-0.38,953,138.4,21.4,46.4,2.26,roc15_c8,35.1,15,8
COVID,2020-01-01,2020-12-31,252,1.0,41.83,17.71,2.36,2.07,2.84,-11.49,3.64,445,120.1,23.3,52.3,1.97,roc15_c8,35.1,15,8
