date,open,high,low,close,volume
2020-01-01,6059.15,6059.15,6059.15,6059.15,0
2020-01-02,6122.02,6122.02,6122.02,6122.02,0
2020-01-03,6095.58,6095.58,6095.58,6095.58,0
2020-01-06,5971.95,5971.95,5971.95,5971.95,0
2020-01-07,6009.32,6009.32,6009.32,6009.32,0
2020-01-08,6009.05,6009.05,6009.05,6009.05,0
2020-01-09,6097.59,6097.59,6097.59,6097.59,0
2020-01-10,6116.72,6116.72,6116.72,6116.72,0
2020-01-13,6156.13,6156.13,6156.13,6156.13,0
2020-01-14,6185.84,6185.84,6185.84,6185.84,0
2020-01-15,6212.26,6212.26,6212.26,6212.26,0
2020-01-16,6241.23,6241.23,6241.23,6241.23,0
2020-01-17,6255.63,6255.63,6255.63,6255.63,0
2020-01-20,6210.29,6210.29,6210.29,6210.29,0
2020-01-21,6193.13,6193.13,6193.13,6193.13,0
2020-01-22,6172.78,6172.78,6172.78,6172.78,0
2020-01-23,6233.14,6233.14,6233.14,6233.14,0
2020-01-24,6276.65,6276.65,6276.65,6276.65,0
2020-01-27,6240.6,6240.6,6240.6,6240.6,0
2020-01-28,6220.32,6220.32,6220.32,6220.32,0
2020-01-29,6247.48,6247.48,6247.48,6247.48,0
2020-01-30,6196.65,6196.65,6196.65,6196.65,0
2020-01-31,6163.12,6163.12,6163.12,6163.12,0
2020-02-01,6008.7,6008.7,6008.7,6008.7,0
2020-02-03,6048.17,6048.17,6048.17,6048.17,0
2020-02-04,6150.05,6150.05,6150.05,6150.05,0
2020-02-05,6214.01,6214.01,6214.01,6214.01,0
2020-02-06,6247.28,6247.28,6247.28,6247.28,0
2020-02-07,6265.14,6265.14,6265.14,6265.14,0
2020-02-10,6227.47,6227.47,6227.47,6227.47,0
2020-02-11,6245.25,6245.25,6245.25,6245.25,0
2020-02-12,6260.75,6260.75,6260.75,6260.75,0
2020-02-13,6250.5,6250.5,6250.5,6250.5,0
2020-02-14,6212.96,6212.96,6212.96,6212.96,0
2020-02-17,6165.33,6165.33,6165.33,6165.33,0
2020-02-18,6134.11,6134.11,6134.11,6134.11,0
2020-02-19,6216.26,6216.26,6216.26,6216.26,0
2020-02-20,6230.34,6230.34,6230.34,6230.34,0
2020-02-24,6111.14,6111.14,6111.14,6111.14,0
2020-02-25,6087.33,6087.33,6087.33,6087.33,0
2020-02-26,6019.83,6019.83,6019.83,6019.83,0
2020-02-27,5987.43,5987.43,5987.43,5987.43,0
2020-02-28,5788.35,5788.35,5788.35,5788.35,0
2020-03-02,5752.7,5752.7,5752.7,5752.7,0
2020-03-03,5848.34,5848.34,5848.34,5848.34,0
2020-03-04,5788.63,5788.63,5788.63,5788.63,0
2020-03-05,5801.89,5801.89,5801.89,5801.89,0
2020-03-06,5673.15,5673.15,5673.15,5673.15,0
2020-03-09,5417.44,5417.44,5417.44,5417.44,0
2020-03-11,5396.16,5396.16,5396.16,5396.16,0
2020-03-12,4959.38,4959.38,4959.38,4959.38,0
2020-03-13,5107.21,5107.21,5107.21,5107.21,0
2020-03-16,4771.17,4771.17,4771.17,4771.17,0
2020-03-17,4659.08,4659.08,4659.08,4659.08,0
2020-03-18,4406.51,4406.51,4406.51,4406.51,0
2020-03-19,4261.67,4261.67,4261.67,4261.67,0
2020-03-20,4472.35,4472.35,4472.35,4472.35,0
2020-03-23,3894.57,3894.57,3894.57,3894.57,0
2020-03-24,3960.05,3960.05,3960.05,3960.05,0
2020-03-25,4149.43,4149.43,4149.43,4149.43,0
2020-03-26,4310.97,4310.97,4310.97,4310.97,0
2020-03-27,4306.46,4306.46,4306.46,4306.46,0
2020-03-30,4170.35,4170.35,4170.35,4170.35,0
2020-03-31,4304.47,4304.47,4304.47,4304.47,0
2020-04-01,4183.36,4183.36,4183.36,4183.36,0
2020-04-03,4114.17,4114.17,4114.17,4114.17,0
2020-04-07,4388.44,4388.44,4388.44,4388.44,0
2020-04-08,4419.82,4419.82,4419.82,4419.82,0
2020-04-09,4581.1,4581.1,4581.1,4581.1,0
2020-04-13,4529.74,4529.74,4529.74,4529.74,0
2020-04-15,4545.85,4545.85,4545.85,4545.85,0
2020-04-16,4597.84,4597.84,4597.84,4597.84,0
2020-04-17,4713.4,4713.4,4713.4,4713.4,0
2020-04-20,4721.45,4721.45,4721.45,4721.45,0
2020-04-21,4586.4,4586.4,4586.4,4586.4,0
2020-04-22,4652.39,4652.39,4652.39,4652.39,0
2020-04-23,4706.86,4706.86,4706.86,4706.86,0
2020-04-24,4625.5,4625.5,4625.5,4625.5,0
2020-04-27,4698.68,4698.68,4698.68,4698.68,0
