window,start,end,n_days,arm,bear_pct,yrs,cagr_pct,vol_pct,sharpe,sharpe_ar,sortino,max_dd_pct,calmar,n_trades,rt_per_year,hit_rate_pct,avg_hold_days,cost_pct_pv_yr
BEAR_2018,2018-01-15,2019-12-31,0,ma_NIFTY_100,26.6,,,,,,,,,,,,,
COVID,2020-01-01,2020-12-31,126,ma_NIFTY_100,26.6,0.49,110.51,22.9,4.83,3.31,6.2,-11.41,9.69,154.0,131.3,45.3,34.3,2.23
POST2021,2021-01-01,2026-08-21,1398,ma_NIFTY_100,26.6,5.63,35.68,19.28,1.85,1.71,2.07,-16.34,2.18,1876.0,113.8,32.9,61.9,1.74
EVAL,2015-07-01,2026-08-21,1524,ma_NIFTY_100,26.6,6.12,40.75,19.61,2.08,1.87,2.36,-16.34,2.49,2030.0,115.1,34.0,59.4,1.78
BEAR_2018,2018-01-15,2019-12-31,0,ma_NIFTY_500,25.6,,,,,,,,,,,,,
COVID,2020-01-01,2020-12-31,126,ma_NIFTY_500,25.6,0.49,110.51,22.9,4.83,3.31,6.2,-11.41,9.69,154.0,131.3,45.3,34.3,2.23
POST2021,2021-01-01,2026-08-21,1398,ma_NIFTY_500,25.6,5.63,36.84,19.39,1.9,1.74,2.14,-19.55,1.88,2075.0,119.8,32.9,61.3,1.84
EVAL,2015-07-01,2026-08-21,1524,ma_NIFTY_500,25.6,6.12,41.86,19.71,2.12,1.9,2.42,-19.55,2.14,2229.0,120.7,34.0,59.0,1.87
BEAR_2018,2018-01-15,2019-12-31,0,ma_NIFTY_LARGEMID250,23.1,,,,,,,,,,,,,
COVID,2020-01-01,2020-12-31,126,ma_NIFTY_LARGEMID250,23.1,0.49,110.51,22.9,4.83,3.31,6.2,-11.41,9.69,154.0,131.3,45.3,34.3,2.23
POST2021,2021-01-01,2026-08-21,1398,ma_NIFTY_LARGEMID250,23.1,5.63,40.02,19.48,2.05,1.86,2.34,-15.45,2.59,1970.0,124.6,37.0,60.1,1.87
EVAL,2015-07-01,2026-08-21,1524,ma_NIFTY_LARGEMID250,23.1,6.12,44.89,19.79,2.27,2.0,2.62,-15.45,2.91,2124.0,125.1,37.7,57.9,1.89
