horizon,series,n_start_months,pct_positive,median_xirr,p5_xirr,p25_xirr,worst_xirr,best_xirr,median_corpus,worst_corpus,invested_lakh,median_multiple,worst_multiple
1y,production OM25,146,80.8,25.5,-13.8,5.7,-28.1,179.5,1.4,1.0,1.2,1.13,0.84
1y,candidate (fixed),146,84.2,26.1,-8.1,8.3,-14.8,165.9,1.4,1.1,1.2,1.14,0.92
1y,candidate (walk-fwd),146,82.2,26.0,-9.0,4.1,-17.9,147.2,1.4,1.1,1.2,1.14,0.9
1y,NIFTY 100,68,80.9,12.8,-7.7,2.2,-16.0,66.1,1.3,1.1,1.2,1.07,0.91
2y,production OM25,134,90.3,30.0,-4.0,9.4,-15.2,121.1,3.2,2.0,2.4,1.33,0.85
2y,candidate (fixed),134,95.5,32.6,1.1,14.0,-6.9,117.3,3.3,2.2,2.4,1.36,0.93
2y,candidate (walk-fwd),134,92.5,28.6,-0.6,11.1,-6.8,93.5,3.2,2.2,2.4,1.31,0.93
2y,NIFTY 100,56,92.9,11.1,-0.3,6.7,-7.1,34.4,2.7,2.2,2.4,1.12,0.93
3y,production OM25,122,95.9,32.8,2.0,20.5,-10.2,85.4,5.7,3.1,3.6,1.6,0.85
3y,candidate (fixed),122,99.2,34.9,5.9,24.0,-1.5,81.9,5.9,3.5,3.6,1.64,0.98
3y,candidate (walk-fwd),122,99.2,31.2,6.4,20.7,-1.0,68.8,5.6,3.5,3.6,1.56,0.98
3y,NIFTY 100,44,100.0,12.8,4.0,11.0,0.8,23.2,4.4,3.6,3.6,1.21,1.01
5y,production OM25,98,100.0,37.1,7.8,17.4,0.8,74.7,14.8,6.1,6.0,2.47,1.02
5y,candidate (fixed),98,100.0,36.1,11.9,21.9,8.0,69.2,14.5,7.3,6.0,2.41,1.22
5y,candidate (walk-fwd),98,100.0,34.1,11.3,21.4,7.4,60.9,13.8,7.2,6.0,2.3,1.2
5y,NIFTY 100,20,100.0,12.3,6.7,9.4,5.6,16.4,8.2,6.9,6.0,1.36,1.15
10y,production OM25,38,100.0,38.6,32.9,36.6,30.4,44.1,93.9,60.6,12.0,7.82,5.05
10y,candidate (fixed),38,100.0,38.1,33.3,35.8,30.9,43.4,91.2,62.2,12.0,7.6,5.18
10y,candidate (walk-fwd),38,100.0,33.9,30.1,32.1,29.6,39.7,72.9,57.8,12.0,6.08,4.82
