exit_buffer,window,start,end,yrs,cagr_pct,vol_pct,sharpe,sharpe_ar,sortino,max_dd_pct,calmar,n_trades,rt_per_year,hit_rate_pct,avg_hold_days,cost_pct_pv_yr,n_days
0,IS,2009-09-01,2016-12-31,7.32,26.93,19.91,1.35,1.17,1.6,-33.6,0.8,2932,198.3,45.5,43.7,5.99,2065
0,OOS_A,2017-01-01,2019-12-31,2.99,25.13,16.43,1.53,0.93,1.71,-33.17,0.76,1485,248.0,43.0,34.3,7.37,1211
0,OOS_B,2020-01-01,2022-12-31,3.0,70.28,28.45,2.47,2.04,2.9,-37.19,1.89,1078,180.0,50.6,50.0,4.81,748
0,OOS_C,2023-01-01,2026-05-08,3.35,31.99,25.59,1.25,1.23,1.46,-32.58,0.98,1294,193.4,47.9,45.2,5.78,829
0,OOS_FULL,2017-01-01,2026-05-08,9.34,40.76,23.01,1.77,1.37,1.97,-39.86,1.02,3857,206.3,46.8,42.3,5.97,2788
0,LIVE_2026,2026-05-09,2026-08-21,0.28,7.86,20.31,0.39,0.46,0.62,-8.77,0.9,122,218.4,41.0,43.1,6.57,73
0,FULL,2009-09-01,2026-08-21,16.96,34.06,21.72,1.57,1.28,1.79,-39.86,0.85,6911,202.9,46.1,42.9,5.98,4926
5,IS,2009-09-01,2016-12-31,7.32,28.53,19.85,1.44,1.23,1.69,-29.86,0.96,2275,153.7,46.9,56.4,4.65,2065
5,OOS_A,2017-01-01,2019-12-31,2.99,28.21,16.27,1.73,1.03,1.92,-30.0,0.94,1208,201.8,44.7,41.9,6.06,1211
5,OOS_B,2020-01-01,2022-12-31,3.0,67.34,28.54,2.36,1.97,2.76,-36.78,1.83,842,140.6,50.1,64.4,3.74,748
5,OOS_C,2023-01-01,2026-05-08,3.35,30.5,25.54,1.19,1.19,1.39,-33.73,0.9,1028,153.6,45.9,57.0,4.57,829
5,OOS_FULL,2017-01-01,2026-05-08,9.34,40.49,22.97,1.76,1.37,1.95,-36.86,1.1,3078,164.7,46.6,53.1,4.78,2788
5,LIVE_2026,2026-05-09,2026-08-21,0.28,19.42,20.23,0.96,0.96,1.49,-8.7,2.23,96,171.9,39.6,48.5,5.12,73
5,FULL,2009-09-01,2026-08-21,16.96,34.82,21.67,1.61,1.31,1.83,-36.86,0.94,5449,159.9,46.6,54.4,4.72,4926
10,IS,2009-09-01,2016-12-31,7.32,31.75,19.8,1.6,1.35,1.88,-29.55,1.07,1851,124.7,49.3,69.4,3.8,2065
10,OOS_A,2017-01-01,2019-12-31,2.99,31.02,16.23,1.91,1.12,2.11,-27.25,1.14,1008,168.4,43.5,50.1,5.05,1211
10,OOS_B,2020-01-01,2022-12-31,3.0,65.97,28.39,2.32,1.95,2.69,-38.24,1.72,678,113.2,51.3,80.0,3.07,748
10,OOS_C,2023-01-01,2026-05-08,3.35,32.32,25.5,1.27,1.25,1.47,-30.31,1.07,842,125.8,46.8,69.4,3.74,829
10,OOS_FULL,2017-01-01,2026-05-08,9.34,41.81,22.89,1.83,1.41,2.01,-38.24,1.09,2528,135.3,46.7,64.5,3.94,2788
10,LIVE_2026,2026-05-09,2026-08-21,0.28,18.18,19.56,0.93,0.93,1.51,-8.35,2.18,70,125.3,42.9,64.4,3.78,73
10,FULL,2009-09-01,2026-08-21,16.96,36.98,21.59,1.71,1.37,1.93,-38.24,0.97,4449,130.4,47.7,66.5,3.87,4926
15,IS,2009-09-01,2016-12-31,7.32,32.98,19.73,1.67,1.39,1.97,-29.93,1.1,1597,107.4,50.0,80.6,3.28,2065
15,OOS_A,2017-01-01,2019-12-31,2.99,33.08,16.51,2.0,1.16,2.21,-24.31,1.36,884,147.7,46.6,57.1,4.41,1211
15,OOS_B,2020-01-01,2022-12-31,3.0,64.4,27.93,2.31,1.94,2.68,-37.68,1.71,570,95.2,52.3,92.9,2.56,748
15,OOS_C,2023-01-01,2026-05-08,3.35,31.35,25.44,1.23,1.22,1.42,-29.8,1.05,728,108.8,45.6,82.2,3.26,829
15,OOS_FULL,2017-01-01,2026-05-08,9.34,41.73,22.81,1.83,1.41,2.01,-37.68,1.11,2182,116.8,47.8,74.8,3.4,2788
15,LIVE_2026,2026-05-09,2026-08-21,0.28,11.04,20.46,0.54,0.6,0.89,-9.16,1.21,64,114.6,46.9,72.5,3.41,73
15,FULL,2009-09-01,2026-08-21,16.96,37.33,21.53,1.73,1.39,1.96,-37.68,0.99,3843,112.6,48.7,77.1,3.34,4926
20,IS,2009-09-01,2016-12-31,7.32,33.41,19.68,1.7,1.41,1.99,-31.46,1.06,1444,97.0,52.0,89.2,2.97,2065
20,OOS_A,2017-01-01,2019-12-31,2.99,35.12,16.25,2.16,1.24,2.4,-24.64,1.43,796,133.0,48.0,63.2,3.99,1211
20,OOS_B,2020-01-01,2022-12-31,3.0,67.05,27.82,2.41,2.01,2.84,-37.32,1.8,506,84.5,53.8,104.5,2.24,748
20,OOS_C,2023-01-01,2026-05-08,3.35,31.72,25.31,1.25,1.24,1.45,-31.9,0.99,634,94.7,48.3,94.2,2.86,829
20,OOS_FULL,2017-01-01,2026-05-08,9.34,43.31,22.65,1.91,1.46,2.12,-37.32,1.16,1936,103.6,49.6,84.1,3.02,2788
20,LIVE_2026,2026-05-09,2026-08-21,0.28,18.2,19.82,0.92,0.92,1.53,-7.49,2.43,50,89.5,44.0,84.1,2.55,73
20,FULL,2009-09-01,2026-08-21,16.96,38.52,21.41,1.8,1.43,2.04,-37.32,1.03,3430,100.4,50.5,86.2,2.99,4926
