exit_buffer,window,start,end,yrs,cagr_pct,vol_pct,sharpe,sharpe_ar,sortino,max_dd_pct,calmar,n_trades,rt_per_year,hit_rate_pct,avg_hold_days,n_days
0,IS,2009-09-01,2016-12-31,7.32,30.75,19.92,1.54,1.3,1.83,-31.42,0.98,2931,198.3,46.6,43.7,2065
0,OOS_A,2017-01-01,2019-12-31,2.99,29.75,16.39,1.81,1.07,2.04,-28.94,1.03,1485,248.0,43.9,34.3,1211
0,OOS_B,2020-01-01,2022-12-31,3.0,74.25,28.43,2.61,2.12,3.07,-37.04,2.0,1078,180.0,51.0,50.0,748
0,OOS_C,2023-01-01,2026-05-08,3.35,35.86,25.56,1.4,1.35,1.63,-29.9,1.2,1294,193.4,49.5,45.2,829
0,OOS_FULL,2017-01-01,2026-05-08,9.34,44.95,22.98,1.96,1.48,2.17,-37.04,1.21,3857,206.3,47.8,42.3,2788
0,LIVE_2026,2026-05-09,2026-08-21,0.28,11.12,20.23,0.55,0.61,0.88,-8.63,1.29,122,218.4,41.0,43.1,73
0,FULL,2009-09-01,2026-08-21,16.96,38.09,21.71,1.75,1.4,2.0,-37.04,1.03,6910,202.9,47.2,42.9,4926
5,IS,2009-09-01,2016-12-31,7.32,31.55,19.87,1.59,1.33,1.87,-28.05,1.12,2276,153.7,48.0,56.4,2065
5,OOS_A,2017-01-01,2019-12-31,2.99,32.08,16.24,1.98,1.15,2.2,-26.35,1.22,1208,201.8,45.5,41.9,1211
5,OOS_B,2020-01-01,2022-12-31,3.0,70.17,28.52,2.46,2.03,2.88,-36.66,1.91,842,140.6,50.4,64.4,748
5,OOS_C,2023-01-01,2026-05-08,3.35,33.5,25.53,1.31,1.28,1.53,-32.59,1.03,1028,153.6,46.9,57.0,829
5,OOS_FULL,2017-01-01,2026-05-08,9.34,43.77,22.95,1.91,1.45,2.11,-36.66,1.19,3078,164.7,47.3,53.1,2788
5,LIVE_2026,2026-05-09,2026-08-21,0.28,22.19,20.17,1.1,1.07,1.72,-8.57,2.59,96,171.9,39.6,48.5,73
5,FULL,2009-09-01,2026-08-21,16.96,37.98,21.67,1.75,1.4,1.99,-36.66,1.04,5450,159.9,47.5,54.4,4926
10,IS,2009-09-01,2016-12-31,7.32,34.23,19.8,1.73,1.43,2.03,-28.08,1.22,1854,124.7,50.1,69.4,2065
10,OOS_A,2017-01-01,2019-12-31,2.99,34.34,16.2,2.12,1.22,2.34,-24.09,1.43,1008,168.4,44.4,50.1,1211
10,OOS_B,2020-01-01,2022-12-31,3.0,68.44,28.35,2.41,2.0,2.79,-38.12,1.8,678,113.2,51.6,80.0,748
10,OOS_C,2023-01-01,2026-05-08,3.35,34.82,25.48,1.37,1.32,1.59,-29.5,1.18,842,125.8,47.5,69.4,829
10,OOS_FULL,2017-01-01,2026-05-08,9.34,44.61,22.87,1.95,1.48,2.14,-38.12,1.17,2528,135.3,47.4,64.5,2788
10,LIVE_2026,2026-05-09,2026-08-21,0.28,20.44,19.55,1.05,1.03,1.7,-8.25,2.48,70,125.3,42.9,64.4,73
10,FULL,2009-09-01,2026-08-21,16.96,39.63,21.58,1.84,1.45,2.08,-38.12,1.04,4452,130.4,48.4,66.5,4926
15,IS,2009-09-01,2016-12-31,7.32,35.15,19.74,1.78,1.46,2.1,-28.74,1.22,1596,107.4,51.4,80.6,2065
15,OOS_A,2017-01-01,2019-12-31,2.99,35.96,16.49,2.18,1.24,2.41,-22.58,1.59,884,147.7,47.5,57.1,1211
15,OOS_B,2020-01-01,2022-12-31,3.0,66.4,27.91,2.38,1.99,2.77,-37.59,1.77,570,95.2,52.6,92.9,748
15,OOS_C,2023-01-01,2026-05-08,3.35,33.49,25.43,1.32,1.29,1.52,-28.0,1.2,728,108.8,46.2,82.2,829
15,OOS_FULL,2017-01-01,2026-05-08,9.34,44.09,22.79,1.93,1.47,2.13,-37.59,1.17,2182,116.8,48.4,74.8,2788
15,LIVE_2026,2026-05-09,2026-08-21,0.28,12.98,20.44,0.64,0.68,1.05,-9.07,1.43,64,114.6,46.9,72.5,73
15,FULL,2009-09-01,2026-08-21,16.96,39.6,21.52,1.84,1.45,2.08,-37.59,1.05,3842,112.6,49.6,77.1,4926
20,IS,2009-09-01,2016-12-31,7.32,35.39,19.7,1.8,1.47,2.11,-30.42,1.16,1444,97.0,53.5,89.2,2065
20,OOS_A,2017-01-01,2019-12-31,2.99,37.84,16.24,2.33,1.31,2.59,-23.24,1.63,796,133.0,49.0,63.2,1211
20,OOS_B,2020-01-01,2022-12-31,3.0,68.75,27.8,2.47,2.04,2.91,-37.24,1.85,506,84.5,54.2,104.5,748
20,OOS_C,2023-01-01,2026-05-08,3.35,33.59,25.29,1.33,1.29,1.54,-30.28,1.11,634,94.7,48.6,94.2,829
20,OOS_FULL,2017-01-01,2026-05-08,9.34,45.43,22.63,2.01,1.51,2.22,-37.24,1.22,1936,103.6,50.2,84.1,2788
20,LIVE_2026,2026-05-09,2026-08-21,0.28,19.68,19.81,0.99,0.98,1.66,-7.45,2.64,50,89.5,48.0,84.1,73
20,FULL,2009-09-01,2026-08-21,16.96,40.58,21.4,1.9,1.49,2.16,-37.24,1.09,3430,100.4,51.6,86.2,4926
