candidate,states,median_run,share_le5,flips_yr,lag_peaks,lag_troughs,cens_peaks,cens_troughs,bm_peaks,bm_troughs,bm_cens_p,bm_cens_t,n_ev_p,n_ev_t,n_runs,first,last,R1,R2,R3,pass
C1 hyst40/60 pct_above_200,2,99.0,0.0,1.5470549305095962,32.0,62.0,1,4,32.0,62.0,1,4,14,14,33,2006-01-02,2026-09-09,True,True,False,False
C2 hyst40/60 composite,2,18.0,0.17204301075268819,4.6234177215189876,3.0,57.0,0,4,34.0,65.0,1,4,13,13,93,2006-10-16,2026-09-09,False,False,False,False
C3 asymmetric divergence,2,1.0,0.6564885496183206,6.284910655195235,19.0,62.0,1,4,32.0,62.0,1,4,14,14,131,2006-01-02,2026-09-09,False,False,False,False
C4 kmeans k=2,2,78.0,0.08108108108108109,1.905376032459064,22.5,46.0,0,4,34.0,65.0,0,4,12,12,37,2007-10-18,2026-09-09,True,True,True,True
C4 kmeans k=3,3,59.0,0.041666666666666664,2.4875742645993335,17.5,65.0,0,4,34.0,65.0,0,4,12,12,48,2007-10-18,2026-09-09,False,True,False,False
C4 kmeans k=4,4,58.0,0.0,2.5405013766120854,17.0,64.0,0,4,34.0,65.0,0,4,12,12,49,2007-10-18,2026-09-09,False,True,False,False
C5 GMM k=2 all,2,40.0,0.0,2.7522098246630926,20.0,52.5,0,4,34.0,65.0,0,4,12,12,53,2007-10-18,2026-09-09,False,True,False,False
C6 GMM k=2 breadth,2,81.0,0.04,1.2702506883060427,23.5,40.0,0,5,34.0,65.0,0,4,12,12,25,2007-10-18,2026-09-09,True,True,True,True
C5 GMM k=3 all,3,36.5,0.021739130434782608,2.38172004057383,-130.0,90.5,0,4,34.0,65.0,0,4,12,12,46,2007-10-18,2026-09-09,False,True,False,False
C6 GMM k=3 breadth,3,42.5,0.0,2.170011592522823,-96.0,66.0,0,5,34.0,65.0,0,4,12,12,42,2007-10-18,2026-09-09,False,True,False,False
