basis,change,stage_age,IS_start,IS_end,IS_years,IS_cagr_pct,IS_vol_pct,IS_sharpe,IS_sortino,IS_max_dd_pct,IS_calmar,IS_n_buys,IS_buys_per_year,IS_win_rate_pct,IS_avg_win_pct,IS_avg_loss_pct,IS_median_hold_days,IS_pct_gt_100,OOS_start,OOS_end,OOS_years,OOS_cagr_pct,OOS_vol_pct,OOS_sharpe,OOS_sortino,OOS_max_dd_pct,OOS_calmar,OOS_n_buys,OOS_buys_per_year,OOS_win_rate_pct,OOS_avg_win_pct,OOS_avg_loss_pct,OOS_median_hold_days,OOS_pct_gt_100,OOS_bench_cagr_pct,OOS_alpha_cagr_pp,OOS_peak_name_wt_pct,OOS_peak_sector_wt_pct,OOS_peak_sector
survivorship_free,baseline D_blend (22/cap4/trim/age21),21,2009-09-07,2016-12-30,7.31,17.68,16.52,1.07,1.28,-25.44,0.7,1029,140.7,42.1,15.11,-5.93,28,0.6,2017-01-09,2026-08-21,9.61,20.05,19.99,1.0,1.14,-30.69,0.65,1756,182.7,42.0,14.65,-6.34,28,0.59,13.95,6.09,8.7,30.3,Financial Services
survivorship_free,+ score = RS + un-extension only,21,2009-09-07,2016-12-30,7.31,22.63,16.1,1.41,1.7,-23.29,0.97,1178,161.1,45.1,13.65,-5.47,21,0.43,2017-01-09,2026-08-21,9.61,17.57,19.04,0.92,1.05,-32.87,0.53,2106,219.1,43.2,11.69,-5.87,21,0.2,13.95,3.61,8.6,30.5,Financial Services
survivorship_free,+ stage-age minimum removed,0,2009-09-07,2016-12-30,7.31,15.67,19.38,0.81,1.02,-42.53,0.37,1650,225.6,36.5,15.0,-5.63,21,0.63,2017-01-09,2026-08-21,9.61,16.53,22.27,0.74,0.85,-47.8,0.35,2488,258.8,38.2,15.32,-6.27,21,0.63,13.95,2.58,8.4,27.8,Healthcare
survivorship_free,+ top_n 22 -> 20,21,2009-09-07,2016-12-30,7.31,19.01,16.89,1.13,1.36,-25.96,0.73,967,132.2,43.7,14.63,-5.96,28,0.63,2017-01-09,2026-08-21,9.61,20.12,20.51,0.98,1.11,-34.25,0.59,1624,168.9,42.1,14.67,-6.38,28,0.63,13.95,6.17,8.6,30.2,Financial Services
survivorship_free,+ sector cap removed,21,2009-09-07,2016-12-30,7.31,18.98,16.59,1.14,1.35,-25.24,0.75,1007,137.7,42.5,15.5,-5.89,28,0.61,2017-01-09,2026-08-21,9.61,18.75,20.39,0.92,1.05,-35.76,0.52,1729,179.9,41.3,15.24,-6.53,28,0.66,13.95,4.8,8.7,50.9,Financial Services
survivorship_free,+ trim removed (drift),21,2009-09-07,2016-12-30,7.31,17.84,16.75,1.07,1.28,-25.4,0.7,1027,140.4,42.2,15.07,-5.94,28,0.6,2017-01-09,2026-08-21,9.61,19.85,20.18,0.98,1.13,-32.51,0.61,1766,183.7,42.0,14.64,-6.35,28,0.59,13.95,5.9,12.7,31.4,Engineering Capital Goods
survivorship_free,FULL founder spec (all five),0,2009-09-07,2016-12-30,7.31,15.41,18.92,0.81,1.03,-45.32,0.34,1939,265.2,37.3,12.25,-5.19,14,0.05,2017-01-09,2026-08-21,9.61,13.83,20.87,0.66,0.76,-42.47,0.33,3097,322.2,40.6,10.8,-5.64,14,0.07,13.95,-0.12,10.7,52.2,Healthcare
snapshot,baseline D_blend (22/cap4/trim/age21),21,2009-09-07,2016-12-30,7.31,25.34,17.07,1.48,1.81,-21.24,1.19,1019,139.3,42.9,18.54,-6.09,28,0.8,2017-01-09,2026-08-21,9.61,35.29,21.12,1.67,1.91,-27.51,1.28,1704,177.3,43.7,18.31,-6.39,28,1.32,13.95,21.34,9.3,30.6,Engineering Capital Goods
snapshot,+ score = RS + un-extension only,21,2009-09-07,2016-12-30,7.31,27.52,16.68,1.65,1.98,-20.33,1.35,1255,171.6,44.7,14.86,-5.52,21,0.65,2017-01-09,2026-08-21,9.61,28.55,20.03,1.43,1.62,-28.86,0.99,2180,226.8,44.9,13.04,-5.92,21,0.28,13.95,14.6,9.4,30.4,Financial Services
snapshot,+ stage-age minimum removed,0,2009-09-07,2016-12-30,7.31,23.6,19.77,1.19,1.48,-37.79,0.62,1618,221.3,38.5,17.18,-5.93,21,0.83,2017-01-09,2026-08-21,9.61,34.93,22.96,1.52,1.77,-44.21,0.79,2410,250.7,41.0,18.05,-6.32,21,0.98,13.95,20.97,8.3,28.7,Healthcare
snapshot,+ top_n 22 -> 20,21,2009-09-07,2016-12-30,7.31,26.8,17.49,1.53,1.86,-21.45,1.25,967,132.2,43.8,18.24,-6.0,28,0.84,2017-01-09,2026-08-21,9.61,32.96,21.35,1.54,1.79,-31.67,1.04,1595,165.9,44.0,17.84,-6.47,28,1.35,13.95,19.0,9.3,30.5,Engineering Capital Goods
snapshot,+ sector cap removed,21,2009-09-07,2016-12-30,7.31,24.92,17.27,1.44,1.73,-21.71,1.15,1023,139.9,43.1,18.12,-6.12,28,0.69,2017-01-09,2026-08-21,9.61,34.73,21.31,1.63,1.87,-31.8,1.09,1662,172.9,45.4,18.48,-6.69,29,1.43,13.95,20.77,9.1,58.4,Software Services
snapshot,+ trim removed (drift),21,2009-09-07,2016-12-30,7.31,25.99,17.41,1.49,1.83,-21.33,1.22,1023,139.9,42.9,18.54,-6.09,28,0.8,2017-01-09,2026-08-21,9.61,35.03,21.4,1.64,1.89,-30.15,1.16,1705,177.4,43.5,18.37,-6.39,28,1.32,13.95,21.07,16.8,31.4,Engineering Capital Goods
snapshot,FULL founder spec (all five),0,2009-09-07,2016-12-30,7.31,25.46,18.97,1.34,1.67,-37.4,0.68,2064,282.2,39.8,12.72,-5.26,14,0.0,2017-01-09,2026-08-21,9.61,26.5,21.5,1.23,1.42,-43.14,0.61,3192,332.1,41.8,12.11,-5.74,14,0.06,13.95,12.54,9.9,51.4,Healthcare
