start,end,years,cagr_pct,vol_pct,sharpe,sortino,max_dd_pct,calmar,n_buys,buys_per_year,win_rate_pct,avg_win_pct,avg_loss_pct,median_hold_days,exit_mix,pct_gt_100,variant,asymmetric,exit_buffer,window,pct_gt_50,bench_cagr_pct,alpha_cagr_pp
2009-09-07,2016-12-30,7.31,18.79,15.47,1.21,1.5,-22.9,0.82,1386,189.5,43.8,11.84,-5.34,21,{'rank': 1370},0.15,C_nofresh,False,10,IS,1.24,,
2017-01-09,2026-08-21,9.61,16.86,17.93,0.94,1.09,-30.17,0.56,2426,252.4,42.3,10.74,-5.62,21,{'rank': 2372},0.04,C_nofresh,False,10,OOS,0.76,13.95,2.91
2009-09-07,2016-12-30,7.31,19.39,15.71,1.23,1.5,-23.03,0.84,1120,153.2,41.7,14.14,-5.1,21,{'rank': 1092},1.01,C_nofresh,False,40,IS,2.38,,
2017-01-09,2026-08-21,9.61,16.42,18.1,0.91,1.05,-29.56,0.56,1957,203.6,41.0,12.37,-5.69,21,{'rank': 1876},0.27,C_nofresh,False,40,OOS,1.6,13.95,2.47
2009-09-07,2016-12-30,7.31,14.09,16.46,0.86,1.06,-25.56,0.55,3555,486.1,52.4,5.23,-4.36,7,{'rank': 3481},0.0,C_nofresh,True,10,IS,0.03,,
2017-01-09,2026-08-21,9.61,10.68,18.71,0.57,0.66,-43.4,0.25,5732,596.3,51.9,5.12,-4.71,7,{'rank': 5609},0.0,C_nofresh,True,10,OOS,0.05,13.95,-3.28
2009-09-07,2016-12-30,7.31,17.95,16.41,1.09,1.34,-23.93,0.75,1748,239.0,57.2,8.13,-6.79,14,{'rank': 1707},0.06,C_nofresh,True,40,IS,0.23,,
2017-01-09,2026-08-21,9.61,16.75,18.39,0.91,1.04,-36.61,0.46,3089,321.3,55.5,7.33,-6.47,8,{'rank': 3036},0.0,C_nofresh,True,40,OOS,0.23,13.95,2.79
2009-09-07,2016-12-30,7.31,17.68,16.52,1.07,1.28,-25.44,0.7,1029,140.7,42.1,15.11,-5.93,28,{'rank': 1008},0.6,D_blend,False,10,IS,2.48,,
2017-01-09,2026-08-21,9.61,20.05,19.99,1.0,1.14,-30.69,0.65,1756,182.7,42.0,14.65,-6.34,28,{'rank': 1708},0.59,D_blend,False,10,OOS,2.58,13.95,6.09
2009-09-07,2016-12-30,7.31,19.13,16.32,1.17,1.42,-24.85,0.77,937,128.1,41.6,17.04,-5.89,28,{'rank': 911},1.1,D_blend,False,40,IS,3.62,,
2017-01-09,2026-08-21,9.61,18.84,19.48,0.97,1.1,-33.41,0.56,1518,157.9,42.1,15.44,-6.59,35,{'rank': 1460},0.62,D_blend,False,40,OOS,2.88,13.95,4.89
2009-09-07,2016-12-30,7.31,13.79,18.51,0.75,0.91,-35.45,0.39,1675,229.1,50.0,9.04,-5.97,8,{'rank': 1617},0.19,D_blend,True,10,IS,0.99,,
2017-01-09,2026-08-21,9.61,14.89,21.49,0.69,0.8,-44.43,0.34,2944,306.3,49.4,8.83,-6.25,7,{'rank': 2815},0.28,D_blend,True,10,OOS,0.71,13.95,0.94
2009-09-07,2016-12-30,7.31,19.42,18.14,1.07,1.32,-27.2,0.71,595,81.4,49.8,21.83,-10.27,77,{'rank': 570},1.58,D_blend,True,40,IS,4.91,,
2017-01-09,2026-08-21,9.61,19.52,21.62,0.9,1.04,-39.59,0.49,1040,108.2,47.4,20.14,-9.8,56,{'rank': 1009},1.78,D_blend,True,40,OOS,3.77,13.95,5.56
2009-09-07,2016-12-30,7.31,18.56,16.76,1.11,1.32,-25.24,0.74,975,133.3,42.9,15.97,-6.1,28,{'rank': 954},0.94,A_rs,False,10,IS,2.83,,
2017-01-09,2026-08-21,9.61,19.13,20.02,0.96,1.09,-32.46,0.59,1629,169.5,42.1,15.18,-6.67,28,{'rank': 1568},0.77,A_rs,False,10,OOS,2.68,13.95,5.18
2009-09-07,2016-12-30,7.31,18.91,16.44,1.15,1.38,-24.06,0.79,890,121.7,42.1,17.21,-6.02,35,{'rank': 874},1.14,A_rs,False,40,IS,3.43,,
2017-01-09,2026-08-21,9.61,20.44,19.69,1.04,1.19,-32.86,0.62,1445,150.3,41.6,16.98,-6.89,35,{'rank': 1384},0.87,A_rs,False,40,OOS,3.11,13.95,6.49
2009-09-07,2016-12-30,7.31,16.87,19.12,0.88,1.07,-32.19,0.52,1203,164.5,43.8,13.06,-5.66,14,{'rank': 1147},0.61,A_rs,True,10,IS,2.62,,
2017-01-09,2026-08-21,9.61,18.66,21.91,0.85,0.98,-45.74,0.41,1877,195.3,42.2,14.39,-6.25,14,{'rank': 1754},1.14,A_rs,True,10,OOS,2.74,13.95,4.71
2009-09-07,2016-12-30,7.31,20.53,18.16,1.13,1.37,-26.59,0.77,462,63.2,48.2,28.24,-10.28,105,{'rank': 438},2.51,A_rs,True,40,IS,7.76,,
2017-01-09,2026-08-21,9.61,19.85,21.57,0.92,1.07,-40.05,0.5,751,78.1,44.2,28.74,-10.56,77,{'rank': 719},2.36,A_rs,True,40,OOS,6.68,13.95,5.9
