start,end,years,cagr_pct,vol_pct,sharpe,sortino,max_dd_pct,calmar,n_buys,buys_per_year,win_rate_pct,avg_win_pct,avg_loss_pct,median_hold_days,exit_mix,pct_gt_100,signal,mode,window,bench_cagr_pct,alpha_cagr_pp
2009-09-14,2016-12-30,7.29,25.85,17.83,1.45,1.78,-28.58,0.9,803,110.1,47.8,23.71,-8.27,70,"{'rank': 673, 'stop': 94}",1.83,TL25v3,native,IS,,
2017-01-09,2026-08-21,9.61,22.66,21.93,1.03,1.17,-40.5,0.56,1388,144.4,45.7,21.09,-8.72,56,"{'rank': 1113, 'stop': 181}",1.55,TL25v3,native,OOS,13.95,8.7
2009-09-07,2016-12-30,7.31,20.49,18.2,1.13,1.41,-33.72,0.61,1235,168.9,43.0,15.88,-6.5,28,{'rank': 1191},0.67,TL25v3,s2_mech,IS,,
2017-01-09,2026-08-21,9.61,20.94,22.09,0.95,1.09,-44.16,0.47,2011,209.2,43.9,14.79,-6.64,27,{'rank': 1934},0.83,TL25v3,s2_mech,OOS,13.95,6.98
2009-09-07,2016-12-30,7.31,16.92,21.83,0.78,0.96,-36.45,0.46,1781,243.5,41.9,12.76,-5.82,14,{'rank': 1731},0.58,L6like,native,IS,,
2017-01-09,2026-08-21,9.61,19.47,24.05,0.81,0.97,-47.77,0.41,2553,265.6,40.2,16.6,-6.62,14,{'rank': 2415},0.95,L6like,native,OOS,13.95,5.51
2009-09-07,2016-12-30,7.31,23.59,21.98,1.07,1.34,-35.89,0.66,894,122.3,46.0,19.92,-8.04,42,{'rank': 866},1.27,L6like,s2_mech,IS,,
2017-01-09,2026-08-21,9.61,21.07,23.7,0.89,1.03,-46.64,0.45,1378,143.4,41.1,25.41,-8.68,35,{'rank': 1337},1.57,L6like,s2_mech,OOS,13.95,7.11
2009-09-07,2016-12-30,7.31,17.68,16.52,1.07,1.28,-25.44,0.7,1029,140.7,42.1,15.11,-5.93,28,{'rank': 1008},0.6,S2_D,s2_mech,IS,,
2017-01-09,2026-08-21,9.61,20.05,19.99,1.0,1.14,-30.69,0.65,1756,182.7,42.0,14.65,-6.34,28,{'rank': 1708},0.59,S2_D,s2_mech,OOS,13.95,6.09
2009-09-07,2016-12-30,7.31,18.19,15.67,1.16,1.44,-23.75,0.77,1426,195.0,44.4,11.38,-5.49,21,{'rank': 1410},0.07,S2_B,s2_mech,IS,,
2017-01-09,2026-08-21,9.61,15.94,18.35,0.87,0.99,-32.83,0.49,2474,257.4,42.9,10.33,-5.71,21,{'rank': 2421},0.0,S2_B,s2_mech,OOS,13.95,1.99
