basis,cfm,buf,IS_cal,OOS_cagr,OOS_dd,OOS_sh,OOS_cal,med_hold,turn
SF,2,20,0.71,17.36,-33.11,0.94,0.52,56.0,4.765
SF,2,30,0.81,18.82,-31.34,1.0,0.6,63.0,4.3950000000000005
SF,2,40,0.79,19.7,-30.8,1.03,0.64,70.0,4.075
SF,3,20,0.69,21.38,-33.62,1.11,0.64,70.0,4.16
SF,3,30,0.66,21.93,-38.62,1.1,0.57,77.0,3.85
SF,3,40,0.59,25.57,-34.56,1.28,0.74,84.0,3.535
SF,4,20,0.71,25.19,-38.98,1.24,0.65,83.0,3.745
SF,4,30,0.77,25.61,-37.04,1.25,0.69,84.0,3.45
SF,4,40,0.63,24.75,-36.15,1.19,0.68,91.0,3.145
SF,5,20,0.77,23.09,-36.6,1.14,0.63,91.0,3.3649999999999998
SF,5,30,0.67,25.45,-34.94,1.25,0.73,98.0,3.195
SF,5,40,0.66,25.71,-35.34,1.23,0.73,98.0,2.96
SF,6,20,0.94,25.7,-34.22,1.25,0.75,105.0,3.09
SF,6,30,0.79,25.87,-37.81,1.23,0.68,108.5,2.915
SF,6,40,0.74,26.56,-40.12,1.25,0.66,112.0,2.67
SNAP,2,20,1.49,20.78,-35.61,1.09,0.58,49.0,4.8100000000000005
SNAP,2,30,1.27,25.83,-34.75,1.34,0.74,56.0,4.415
SNAP,2,40,1.28,27.56,-35.35,1.41,0.78,63.0,4.055
SNAP,3,20,1.43,30.96,-36.98,1.53,0.84,70.0,4.16
SNAP,3,30,1.19,31.78,-37.01,1.56,0.86,70.0,3.8899999999999997
SNAP,3,40,1.18,32.04,-35.5,1.56,0.9,77.0,3.6350000000000002
SNAP,4,20,1.25,32.2,-38.67,1.54,0.83,77.5,3.6700000000000004
SNAP,4,30,1.06,32.8,-41.73,1.53,0.79,84.0,3.45
SNAP,4,40,1.12,33.46,-36.02,1.59,0.93,91.0,3.225
SNAP,5,20,1.04,33.49,-38.3,1.59,0.87,91.0,3.405
SNAP,5,30,1.06,35.06,-34.69,1.67,1.01,98.0,3.2299999999999995
SNAP,5,40,1.01,33.21,-38.48,1.56,0.86,105.0,2.95
SNAP,6,20,1.24,35.31,-39.03,1.69,0.9,99.5,3.065
SNAP,6,30,1.16,33.99,-40.89,1.62,0.83,105.0,2.875
SNAP,6,40,1.02,36.66,-37.44,1.74,0.98,112.0,2.63
