start,end,years,cagr_pct,vol_pct,sharpe,sortino,max_dd_pct,calmar,n_buys,buys_per_year,win_rate_pct,avg_win_pct,avg_loss_pct,median_hold_days,exit_mix,pct_gt_100,variant,exit_buffer,min_hold_days,window,pct_gt_50,bench_cagr_pct,alpha_cagr_pp
2009-09-07,2016-12-30,7.31,18.79,15.47,1.21,1.5,-22.9,0.82,1386,189.5,43.8,11.84,-5.34,21,{'rank': 1370},0.15,C_nofresh,10,0,IS,1.24,,
2017-01-09,2026-08-21,9.61,16.86,17.93,0.94,1.09,-30.17,0.56,2426,252.4,42.3,10.74,-5.62,21,{'rank': 2372},0.04,C_nofresh,10,0,OOS,0.76,13.95,2.91
2009-09-07,2016-12-30,7.31,20.79,15.95,1.3,1.65,-21.15,0.98,993,135.8,51.8,13.45,-7.03,35,{'rank': 977},0.0,C_nofresh,10,30,IS,1.43,,
2017-01-09,2026-08-21,9.61,15.55,18.73,0.83,0.94,-36.08,0.43,1652,171.9,49.7,11.85,-7.83,35,{'rank': 1613},0.06,C_nofresh,10,30,OOS,0.81,13.95,1.59
2009-09-07,2016-12-30,7.31,18.7,15.63,1.2,1.46,-23.03,0.81,1211,165.6,42.1,13.24,-5.24,21,{'rank': 1189},0.5,C_nofresh,20,0,IS,2.1,,
2017-01-09,2026-08-21,9.61,17.0,18.07,0.94,1.08,-31.3,0.54,2142,222.8,41.9,11.53,-5.64,21,{'rank': 2064},0.15,C_nofresh,20,0,OOS,1.26,13.95,3.04
2009-09-07,2016-12-30,7.31,19.55,16.21,1.21,1.49,-21.08,0.93,930,127.2,50.5,14.27,-6.97,35,{'rank': 909},0.66,C_nofresh,20,30,IS,1.98,,
2017-01-09,2026-08-21,9.61,14.98,18.88,0.79,0.91,-35.23,0.43,1557,162.0,49.3,11.85,-7.64,35,{'rank': 1525},0.13,C_nofresh,20,30,OOS,1.11,13.95,1.02
2009-09-07,2016-12-30,7.31,19.39,15.71,1.23,1.5,-23.03,0.84,1120,153.2,41.7,14.14,-5.1,21,{'rank': 1092},1.01,C_nofresh,40,0,IS,2.38,,
2017-01-09,2026-08-21,9.61,16.42,18.1,0.91,1.05,-29.56,0.56,1957,203.6,41.0,12.37,-5.69,21,{'rank': 1876},0.27,C_nofresh,40,0,OOS,1.6,13.95,2.47
2009-09-07,2016-12-30,7.31,19.96,16.35,1.22,1.53,-20.96,0.95,884,120.9,50.6,14.91,-6.87,35,{'rank': 863},0.93,C_nofresh,40,30,IS,2.78,,
2017-01-09,2026-08-21,9.61,16.0,19.08,0.84,0.97,-33.53,0.48,1485,154.5,49.3,12.32,-7.62,35,{'rank': 1446},0.28,C_nofresh,40,30,OOS,1.38,13.95,2.05
2009-09-07,2016-12-30,7.31,19.15,15.73,1.22,1.48,-23.02,0.83,1120,153.2,41.5,14.18,-5.11,21,{'rank': 1091},1.01,C_nofresh,100,0,IS,2.38,,
2017-01-09,2026-08-21,9.61,16.7,18.13,0.92,1.07,-29.56,0.57,1864,193.9,40.5,13.21,-5.65,21,{'rank': 1786},0.56,C_nofresh,100,0,OOS,1.62,13.95,2.75
2009-09-07,2016-12-30,7.31,19.77,16.38,1.21,1.51,-20.96,0.94,885,121.0,50.6,14.9,-6.87,35,{'rank': 862},0.93,C_nofresh,100,30,IS,2.78,,
2017-01-09,2026-08-21,9.61,17.57,19.22,0.91,1.06,-33.53,0.52,1445,150.3,49.2,13.34,-7.63,35,{'rank': 1407},0.64,C_nofresh,100,30,OOS,1.78,13.95,3.61
2009-09-07,2016-12-30,7.31,19.15,15.73,1.22,1.48,-23.02,0.83,1120,153.2,41.5,14.18,-5.11,21,{'rank': 1091},1.01,C_nofresh,400,0,IS,2.38,,
2017-01-09,2026-08-21,9.61,16.7,18.13,0.92,1.07,-29.56,0.57,1864,193.9,40.5,13.21,-5.65,21,{'rank': 1786},0.56,C_nofresh,400,0,OOS,1.62,13.95,2.75
2009-09-07,2016-12-30,7.31,19.77,16.38,1.21,1.51,-20.96,0.94,885,121.0,50.6,14.9,-6.87,35,{'rank': 862},0.93,C_nofresh,400,30,IS,2.78,,
2017-01-09,2026-08-21,9.61,17.57,19.22,0.91,1.06,-33.53,0.52,1445,150.3,49.2,13.34,-7.63,35,{'rank': 1407},0.64,C_nofresh,400,30,OOS,1.78,13.95,3.61
