basis,signal,IS_start,IS_end,IS_years,IS_cagr_pct,IS_vol_pct,IS_sharpe,IS_sortino,IS_max_dd_pct,IS_calmar,IS_n_buys,IS_buys_per_year,IS_win_rate_pct,IS_avg_win_pct,IS_avg_loss_pct,IS_median_hold_days,IS_pct_gt_100,OOS_start,OOS_end,OOS_years,OOS_cagr_pct,OOS_vol_pct,OOS_sharpe,OOS_sortino,OOS_max_dd_pct,OOS_calmar,OOS_n_buys,OOS_buys_per_year,OOS_win_rate_pct,OOS_avg_win_pct,OOS_avg_loss_pct,OOS_median_hold_days,OOS_pct_gt_100,OOS_bench_cagr_pct,OOS_alpha_cagr_pp
snapshot,TL25v3,2009-09-14,2016-12-30,7.29,36.28,18.32,1.98,2.46,-26.33,1.38,786,107.8,50.3,27.18,-7.88,70,2.25,2017-01-09,2026-08-21,9.61,37.64,22.57,1.67,1.92,-40.77,0.92,1314,136.7,47.9,26.77,-8.75,56,2.93,13.95,23.69
snapshot,L6like,2009-09-07,2016-12-30,7.31,26.28,21.71,1.21,1.5,-30.52,0.86,1711,234.0,43.6,15.44,-6.05,14,0.78,2017-01-09,2026-08-21,9.61,40.01,25.08,1.6,1.94,-40.31,0.99,2239,232.9,41.9,22.42,-6.65,14,1.6,13.95,26.05
snapshot,S2_A_rs,2009-09-07,2016-12-30,7.31,25.95,17.25,1.5,1.82,-21.02,1.23,968,132.4,44.6,18.96,-6.37,35,1.16,2017-01-09,2026-08-21,9.61,34.47,21.05,1.64,1.88,-28.08,1.23,1568,163.1,43.0,19.69,-6.59,28,1.77,13.95,20.52
snapshot,S2_B_quality,2009-09-07,2016-12-30,7.31,23.87,16.25,1.47,1.81,-20.39,1.17,1498,204.8,44.7,12.29,-5.49,21,0.13,2017-01-09,2026-08-21,9.61,24.85,19.21,1.29,1.47,-30.25,0.82,2541,264.3,45.0,11.06,-5.77,21,0.0,13.95,10.9
snapshot,S2_C_nofresh,2009-09-07,2016-12-30,7.31,26.55,16.09,1.65,2.02,-19.62,1.35,1447,197.9,45.4,12.5,-5.29,21,0.21,2017-01-09,2026-08-21,9.61,24.15,18.97,1.27,1.44,-27.79,0.87,2502,260.3,43.4,11.5,-5.61,21,0.12,13.95,10.2
snapshot,S2_D_blend,2009-09-07,2016-12-30,7.31,25.34,17.07,1.48,1.81,-21.24,1.19,1019,139.3,42.9,18.54,-6.09,28,0.8,2017-01-09,2026-08-21,9.61,35.29,21.12,1.67,1.91,-27.51,1.28,1704,177.3,43.7,18.31,-6.39,28,1.32,13.95,21.34
survivorship_free,TL25v3,2009-09-14,2016-12-30,7.29,25.85,17.83,1.45,1.78,-28.58,0.9,803,110.1,47.8,23.71,-8.27,70,1.83,2017-01-09,2026-08-21,9.61,22.66,21.93,1.03,1.17,-40.5,0.56,1388,144.4,45.7,21.09,-8.72,56,1.55,13.95,8.7
survivorship_free,L6like,2009-09-07,2016-12-30,7.31,16.92,21.83,0.78,0.96,-36.45,0.46,1781,243.5,41.9,12.76,-5.82,14,0.58,2017-01-09,2026-08-21,9.61,19.47,24.05,0.81,0.97,-47.77,0.41,2553,265.6,40.2,16.6,-6.62,14,0.95,13.95,5.51
survivorship_free,S2_A_rs,2009-09-07,2016-12-30,7.31,18.56,16.76,1.11,1.32,-25.24,0.74,975,133.3,42.9,15.97,-6.1,28,0.94,2017-01-09,2026-08-21,9.61,19.13,20.02,0.96,1.09,-32.46,0.59,1629,169.5,42.1,15.18,-6.67,28,0.77,13.95,5.18
survivorship_free,S2_B_quality,2009-09-07,2016-12-30,7.31,18.19,15.67,1.16,1.44,-23.75,0.77,1426,195.0,44.4,11.38,-5.49,21,0.07,2017-01-09,2026-08-21,9.61,15.94,18.35,0.87,0.99,-32.83,0.49,2474,257.4,42.9,10.33,-5.71,21,0.0,13.95,1.99
survivorship_free,S2_C_nofresh,2009-09-07,2016-12-30,7.31,18.79,15.47,1.21,1.5,-22.9,0.82,1386,189.5,43.8,11.84,-5.34,21,0.15,2017-01-09,2026-08-21,9.61,16.86,17.93,0.94,1.09,-30.17,0.56,2426,252.4,42.3,10.74,-5.62,21,0.04,13.95,2.91
survivorship_free,S2_D_blend,2009-09-07,2016-12-30,7.31,17.68,16.52,1.07,1.28,-25.44,0.7,1029,140.7,42.1,15.11,-5.93,28,0.6,2017-01-09,2026-08-21,9.61,20.05,19.99,1.0,1.14,-30.69,0.65,1756,182.7,42.0,14.65,-6.34,28,0.59,13.95,6.09
