basis,window,book,median_hold,turnover_x,start,end,years,cagr_pct,vol_pct,sharpe,sortino,max_dd_pct,calmar,n_buys,buys_per_year,win_rate_pct,avg_win_pct,avg_loss_pct,median_hold_days,pct_gt_100,bench_cagr_pct,alpha_cagr_pp
snapshot,prod 2020-01-01+,L6v2,21.0,8.0,2020-01-03,2026-08-21,6.63,47.76,26.71,1.79,2.07,-37.84,1.26,1271,191.7,49.0,22.9,-7.98,21,2.1,13.87,33.89
snapshot,prod 2020-01-01+,OM25v3,77.0,3.2,2020-01-06,2026-08-21,6.62,43.33,22.63,1.91,2.23,-34.24,1.27,531,80.2,47.9,55.89,-11.45,77,6.26,14.23,29.1
snapshot,prod 2020-01-01+,TL25v3,42.0,6.4,2020-01-06,2026-08-21,6.62,37.12,23.35,1.59,1.74,-34.14,1.09,1055,159.3,47.9,24.14,-8.48,42,2.18,14.23,22.89
snapshot,prod 2020-01-01+,COMBO,28.0,4.9,2020-01-06,2026-08-21,6.62,37.62,19.27,1.95,2.2,-16.45,2.29,774,116.9,33.6,22.67,-25.63,28,1.75,14.23,23.38
snapshot,prod 2020-01-01+,S2v2,77.0,3.8,2020-01-06,2026-08-21,6.62,34.01,21.6,1.57,1.79,-35.71,0.95,498,75.2,58.1,25.56,-14.23,77,1.05,14.23,19.78
snapshot,published window,L6v2,21.0,7.9,2020-07-17,2026-02-02,5.55,54.06,26.08,2.07,2.46,-29.89,1.81,1057,190.6,49.9,23.57,-7.61,21,2.23,18.53,35.54
snapshot,published window,OM25v3,80.5,3.2,2020-07-20,2026-02-02,5.54,52.32,21.74,2.41,2.88,-25.32,2.07,437,78.9,50.7,57.32,-10.86,80,7.18,18.34,33.98
snapshot,published window,TL25v3,42.0,6.4,2020-07-20,2026-02-02,5.54,44.05,22.55,1.95,2.22,-30.32,1.45,890,160.7,48.4,24.74,-7.68,42,2.35,18.34,25.7
snapshot,published window,COMBO,28.0,5.1,2020-07-20,2026-02-02,5.54,45.57,20.26,2.25,2.53,-16.39,2.78,675,121.9,35.7,23.91,-23.79,28,1.98,18.34,27.23
snapshot,published window,S2v2,77.0,3.9,2020-07-13,2026-02-02,5.56,35.41,20.67,1.71,1.97,-27.31,1.3,432,77.7,61.3,23.22,-12.87,77,0.24,18.64,16.77
survivorship_free,prod 2020-01-01+,L6v2,21.0,8.8,2020-01-03,2026-08-21,6.63,29.4,26.29,1.12,1.27,-40.67,0.72,1395,210.4,45.3,18.93,-7.77,21,1.26,13.87,15.52
survivorship_free,prod 2020-01-01+,OM25v3,70.0,3.6,2020-01-06,2026-08-21,6.62,25.75,22.39,1.15,1.31,-35.88,0.72,598,90.3,47.5,31.82,-11.13,70,3.46,14.23,11.51
survivorship_free,prod 2020-01-01+,TL25v3,42.0,6.6,2020-01-06,2026-08-21,6.62,23.27,22.82,1.02,1.1,-35.38,0.66,1086,164.0,44.7,21.06,-8.55,42,1.38,14.23,9.04
survivorship_free,prod 2020-01-01+,COMBO,28.0,2.9,2020-01-06,2026-08-21,6.62,21.93,19.38,1.13,1.29,-19.71,1.11,459,69.3,30.6,15.09,-26.39,28,0.45,14.23,7.7
survivorship_free,prod 2020-01-01+,S2v2,77.0,3.7,2020-01-06,2026-08-21,6.62,24.27,21.15,1.15,1.31,-34.15,0.71,491,74.1,55.0,24.09,-14.43,77,0.87,14.23,10.03
survivorship_free,published window,L6v2,21.0,8.8,2020-07-17,2026-02-02,5.55,31.2,25.56,1.22,1.42,-37.17,0.84,1176,212.0,44.8,19.57,-7.42,21,1.23,18.53,12.67
survivorship_free,published window,OM25v3,70.0,3.6,2020-07-20,2026-02-02,5.54,30.63,21.26,1.44,1.7,-25.97,1.18,495,89.4,49.8,32.88,-10.3,70,3.52,18.34,12.29
survivorship_free,published window,TL25v3,42.0,6.6,2020-07-20,2026-02-02,5.54,27.36,21.97,1.25,1.4,-32.2,0.85,913,164.8,44.8,21.75,-7.93,42,1.53,18.34,9.01
survivorship_free,published window,COMBO,28.0,2.9,2020-07-20,2026-02-02,5.54,27.19,20.62,1.32,1.52,-19.71,1.38,384,69.3,32.3,16.23,-23.48,28,0.53,18.34,8.85
survivorship_free,published window,S2v2,77.0,3.8,2020-07-13,2026-02-02,5.56,25.1,20.32,1.24,1.42,-29.43,0.85,424,76.3,57.8,20.64,-13.26,77,0.25,18.64,6.47
