basis,stage_age,hold_mode,exit_confirm,exit_buffer,IS_calmar,IS_cagr,IS_dd,OOS_start,OOS_end,OOS_years,OOS_cagr_pct,OOS_vol_pct,OOS_sharpe,OOS_sortino,OOS_max_dd_pct,OOS_calmar,OOS_n_buys,OOS_buys_per_year,OOS_win_rate_pct,OOS_avg_win_pct,OOS_avg_loss_pct,OOS_median_hold_days,OOS_pct_gt_100,OOS_bench_cagr_pct,OOS_alpha_cagr_pp,median_hold,mean_hold,p90_hold,turnover_x,pct_gt_50
snapshot,21,strict,1,10,1.4,29.53,-21.07,2017-01-09,2026-08-21,9.61,28.06,20.72,1.35,1.54,-32.87,0.85,2116,220.1,44.9,13.02,-5.91,21,0.29,13.95,14.1,21,29,63,11.0,1.54
snapshot,21,strict,2,10,1.57,29.84,-19.05,2017-01-09,2026-08-21,9.61,28.82,21.65,1.33,1.54,-36.49,0.79,1597,166.1,46.9,15.34,-7.14,28,0.64,13.95,14.87,28,40,77,8.3,2.24
snapshot,21,strict,3,10,1.35,29.74,-21.98,2017-01-09,2026-08-21,9.61,30.02,21.73,1.38,1.63,-33.52,0.9,1350,140.4,48.5,17.17,-7.91,40,1.29,13.95,16.07,40,49,91,7.0,3.26
snapshot,21,tiered,1,10,0.92,21.63,-23.61,2017-01-09,2026-08-21,9.61,15.65,13.59,1.15,1.41,-26.43,0.59,784,81.6,64.6,10.92,-10.81,28,0.13,13.95,1.69,28,38,77,4.1,0.52
snapshot,21,tiered,1,20,1.14,24.65,-21.62,2017-01-09,2026-08-21,9.61,16.72,14.42,1.16,1.41,-25.85,0.65,734,76.4,62.9,12.98,-11.41,42,0.28,13.95,2.77,42,48,98,3.8,0.56
snapshot,21,tiered,2,10,1.18,25.51,-21.53,2017-01-09,2026-08-21,9.61,18.14,15.21,1.19,1.45,-27.48,0.66,695,72.3,61.1,14.76,-11.07,49,0.15,13.95,4.19,49,56,105,3.6,0.74
snapshot,21,tiered,2,20,1.5,26.92,-17.9,2017-01-09,2026-08-21,9.61,19.67,15.95,1.23,1.48,-32.35,0.61,640,66.6,60.6,17.8,-12.37,58,0.65,13.95,5.72,58,66,119,3.3,1.94
snapshot,21,tiered,3,10,1.11,25.5,-23.0,2017-01-09,2026-08-21,9.61,21.85,16.47,1.33,1.62,-30.89,0.71,613,63.8,59.6,19.0,-12.16,63,0.34,13.95,7.9,63,70,125,3.2,2.35
snapshot,21,tiered,3,20,0.98,25.41,-25.88,2017-01-09,2026-08-21,9.61,24.22,17.19,1.41,1.7,-31.92,0.76,566,58.9,59.8,22.59,-13.03,70,1.1,13.95,10.26,70,80,133,2.9,4.02
snapshot,21,loose,1,10,0.77,19.28,-25.13,2017-01-09,2026-08-21,9.61,14.87,12.79,1.16,1.44,-21.95,0.68,760,79.1,64.6,10.39,-10.73,28,0.0,13.95,0.91,28,36,77,4.0,0.0
snapshot,21,loose,1,20,0.93,22.47,-24.19,2017-01-09,2026-08-21,9.61,15.14,13.53,1.12,1.33,-26.2,0.58,724,75.3,63.3,11.77,-11.39,35,0.0,13.95,1.18,35,43,85,3.8,0.14
snapshot,21,loose,2,10,1.02,24.82,-24.25,2017-01-09,2026-08-21,9.61,17.39,14.5,1.2,1.49,-24.8,0.7,679,70.6,60.6,14.17,-10.95,49,0.0,13.95,3.44,49,53,98,3.5,0.6
snapshot,21,loose,2,20,1.27,25.95,-20.45,2017-01-09,2026-08-21,9.61,18.12,15.43,1.17,1.37,-33.68,0.54,645,67.1,60.4,16.29,-12.62,56,0.16,13.95,4.16,56,61,112,3.4,1.44
snapshot,21,loose,3,10,1.07,26.5,-24.85,2017-01-09,2026-08-21,9.61,20.8,15.76,1.32,1.62,-31.66,0.66,607,63.1,59.0,18.6,-11.98,63,0.0,13.95,6.84,63,66,118,3.2,2.36
snapshot,21,loose,3,20,1.01,25.01,-24.82,2017-01-09,2026-08-21,9.61,22.37,16.45,1.36,1.67,-30.67,0.73,566,58.9,59.6,20.03,-12.28,70,0.18,13.95,8.41,70,76,127,2.9,2.91
snapshot,0,strict,1,10,0.68,25.46,-37.4,2017-01-09,2026-08-21,9.61,26.5,21.5,1.23,1.42,-43.14,0.61,3192,332.1,41.8,12.11,-5.74,14,0.06,13.95,12.54,14,21,49,16.6,0.63
snapshot,0,strict,2,10,1.12,30.0,-26.72,2017-01-09,2026-08-21,9.61,30.37,22.09,1.37,1.59,-38.75,0.78,1800,187.3,43.0,17.62,-7.32,28,0.17,13.95,16.42,28,38,84,9.4,2.38
snapshot,0,strict,3,10,1.19,30.85,-25.91,2017-01-09,2026-08-21,9.61,29.12,22.15,1.31,1.55,-41.28,0.71,1258,130.9,43.6,22.6,-8.85,42,0.73,13.95,15.16,42,56,112,6.5,5.14
