basis,stage_age,hold_mode,exit_confirm,exit_buffer,IS_calmar,IS_cagr,IS_dd,OOS_start,OOS_end,OOS_years,OOS_cagr_pct,OOS_vol_pct,OOS_sharpe,OOS_sortino,OOS_max_dd_pct,OOS_calmar,OOS_n_buys,OOS_buys_per_year,OOS_win_rate_pct,OOS_avg_win_pct,OOS_avg_loss_pct,OOS_median_hold_days,OOS_pct_gt_100,OOS_bench_cagr_pct,OOS_alpha_cagr_pp,median_hold,mean_hold,p90_hold,turnover_x,pct_gt_50
survivorship_free,21,strict,1,10,1.05,25.48,-24.19,2017-01-09,2026-08-21,9.61,16.33,19.72,0.83,0.95,-38.17,0.43,2042,212.4,42.5,11.86,-5.82,21,0.2,13.95,2.38,21,30,63,10.6,1.26
survivorship_free,21,strict,2,10,0.86,22.52,-26.18,2017-01-09,2026-08-21,9.61,16.6,20.52,0.81,0.93,-37.99,0.44,1580,164.4,44.5,13.48,-6.93,31,0.26,13.95,2.65,31,41,77,8.2,1.91
survivorship_free,21,strict,3,10,0.85,21.43,-25.23,2017-01-09,2026-08-21,9.61,19.54,20.63,0.95,1.1,-33.29,0.59,1312,136.5,47.7,14.44,-7.65,42,0.62,13.95,5.58,42,49,91,6.8,2.5
survivorship_free,21,tiered,1,10,0.75,16.1,-21.47,2017-01-09,2026-08-21,9.61,10.81,13.23,0.82,1.0,-24.47,0.44,748,77.8,62.3,10.41,-11.19,35,0.0,13.95,-3.15,35,40,84,3.9,0.14
survivorship_free,21,tiered,1,20,0.51,14.38,-28.18,2017-01-09,2026-08-21,9.61,11.69,14.13,0.83,1.01,-25.6,0.46,689,71.7,61.4,12.76,-12.14,42,0.15,13.95,-2.27,42,50,98,3.6,0.74
survivorship_free,21,tiered,2,10,0.78,18.46,-23.74,2017-01-09,2026-08-21,9.61,10.36,15.36,0.67,0.81,-29.04,0.36,663,69.0,57.6,14.39,-11.67,56,0.16,13.95,-3.59,56,59,112,3.5,0.62
survivorship_free,21,tiered,2,20,0.77,18.12,-23.68,2017-01-09,2026-08-21,9.61,12.71,15.85,0.8,0.95,-33.65,0.38,609,63.4,55.7,17.98,-12.58,63,0.17,13.95,-1.25,63,69,119,3.2,2.03
survivorship_free,21,tiered,3,10,0.84,18.41,-21.96,2017-01-09,2026-08-21,9.61,16.09,16.68,0.96,1.16,-30.66,0.52,603,62.7,56.4,18.36,-12.03,70,0.34,13.95,2.13,70,73,126,3.1,2.23
survivorship_free,21,tiered,3,20,0.66,17.09,-26.06,2017-01-09,2026-08-21,9.61,17.82,16.51,1.08,1.32,-28.51,0.63,554,57.6,55.9,21.32,-12.77,77,0.56,13.95,3.87,77,83,140,2.9,2.61
survivorship_free,21,loose,1,10,0.66,14.37,-21.77,2017-01-09,2026-08-21,9.61,9.71,12.02,0.81,0.99,-22.41,0.43,721,75.0,62.6,9.91,-10.61,29,0.0,13.95,-4.25,29,37,77,3.8,0.0
survivorship_free,21,loose,1,20,0.72,15.37,-21.44,2017-01-09,2026-08-21,9.61,10.24,13.13,0.78,0.91,-28.17,0.36,688,71.6,61.1,11.4,-11.51,42,0.0,13.95,-3.72,42,45,84,3.6,0.15
survivorship_free,21,loose,2,10,0.89,18.66,-20.88,2017-01-09,2026-08-21,9.61,11.39,14.69,0.78,0.93,-30.03,0.38,664,69.1,58.6,13.45,-11.52,49,0.0,13.95,-2.56,49,55,105,3.5,0.47
survivorship_free,21,loose,2,20,0.94,18.22,-19.3,2017-01-09,2026-08-21,9.61,10.56,15.38,0.69,0.79,-35.29,0.3,618,64.3,56.9,15.57,-12.54,63,0.0,13.95,-3.4,63,64,112,3.2,0.68
survivorship_free,21,loose,3,10,0.87,18.22,-21.02,2017-01-09,2026-08-21,9.61,15.58,16.05,0.97,1.14,-35.14,0.44,598,62.2,56.5,17.65,-11.76,63,0.17,13.95,1.63,63,68,119,3.1,1.72
survivorship_free,21,loose,3,20,0.77,17.38,-22.46,2017-01-09,2026-08-21,9.61,17.18,15.98,1.08,1.3,-30.72,0.56,558,58.0,56.1,19.71,-12.11,70,0.56,13.95,3.23,70,78,133,2.9,2.41
