basis,config,window,stage_age,start,end,years,cagr_pct,vol_pct,sharpe,sortino,max_dd_pct,calmar,n_buys,buys_per_year,win_rate_pct,avg_win_pct,avg_loss_pct,median_hold_days,pct_gt_100,median_hold,pct_gt_50,peak_name_wt_pct,peak_sector_wt_pct,peak_sector,mean_invested_pct,pct_days_under_50_invested,mean_holdings,pct_days_full_book,bench_cagr_pct,alpha_cagr_pp
survivorship_free,S2-v2 finalist,IS,0,2009-09-07,2016-12-30,7.31,16.53,18.15,0.91,1.14,-28.07,0.59,463,63.3,52.7,21.51,-12.0,91,0.22,91.0,5.689277899343545,15.0,36.9,Engineering Capital Goods,91.9,4.0,18.2,0.0,,
survivorship_free,S2-v2 finalist,OOS,0,2017-01-09,2026-08-21,9.61,25.57,20.05,1.28,1.5,-34.56,0.74,680,70.7,55.4,23.58,-13.34,84,0.92,84.0,3.834355828220859,18.5,54.4,Healthcare,89.5,4.1,17.7,0.0,13.95,11.62
survivorship_free,+ 25% stop,IS,0,2009-09-07,2016-12-30,7.31,17.42,17.65,0.99,1.25,-26.86,0.65,466,63.7,52.9,21.4,-11.67,91,0.22,91.0,5.664488017429194,15.0,29.9,Engineering Capital Goods,91.2,4.9,18.1,0.0,,
survivorship_free,+ 25% stop,OOS,0,2017-01-09,2026-08-21,9.61,23.37,19.39,1.2,1.41,-34.35,0.68,698,72.6,54.7,21.71,-13.55,78,0.6,78.0,3.5767511177347244,14.6,55.9,Healthcare,88.4,5.4,17.5,0.0,13.95,9.41
survivorship_free,+ 30% stop,IS,0,2009-09-07,2016-12-30,7.31,16.92,18.11,0.93,1.18,-27.24,0.62,462,63.2,52.9,21.75,-11.82,91,0.22,91.0,5.701754385964912,15.1,36.7,Engineering Capital Goods,91.7,4.5,18.2,0.0,,
survivorship_free,+ 30% stop,OOS,0,2017-01-09,2026-08-21,9.61,25.4,19.75,1.29,1.52,-33.52,0.76,684,71.2,54.7,23.77,-13.31,84,0.91,84.0,3.6585365853658534,19.4,56.5,Healthcare,89.3,4.1,17.6,0.0,13.95,11.45
survivorship_free,+ sector cap 4,IS,0,2009-09-07,2016-12-30,7.31,17.26,19.2,0.9,1.12,-29.72,0.58,513,70.2,53.1,21.49,-12.31,91,0.2,91.0,5.679513184584178,11.2,22.3,Financial Services,98.2,0.1,19.8,0.0,,
survivorship_free,+ sector cap 4,OOS,0,2017-01-09,2026-08-21,9.61,23.08,21.24,1.09,1.29,-38.04,0.61,766,79.7,53.2,23.1,-12.93,82,0.94,82.0,3.4993270524899054,19.9,24.7,Healthcare,97.9,0.0,19.9,0.0,13.95,9.13
survivorship_free,+ stage-age 21 too,IS,21,2009-09-07,2016-12-30,7.31,15.63,15.8,0.99,1.21,-28.56,0.55,353,48.3,56.4,21.54,-12.96,98,0.29,98.0,4.584527220630372,11.6,41.3,Software Services,78.9,16.3,14.7,0.0,,
survivorship_free,+ stage-age 21 too,OOS,21,2017-01-09,2026-08-21,9.61,18.3,17.55,1.04,1.26,-30.09,0.61,493,51.3,55.5,23.39,-13.52,91,0.84,91.0,3.5864978902953584,19.1,55.5,Healthcare,75.0,19.4,13.6,0.0,13.95,4.34
snapshot,S2-v2 finalist,IS,0,2009-09-07,2016-12-30,7.31,27.56,17.92,1.54,1.99,-23.37,1.18,461,63.0,58.0,23.3,-11.36,92,0.66,92.0,6.415929203539823,11.9,45.6,Engineering Capital Goods,90.6,4.4,18.1,0.0,,
snapshot,S2-v2 finalist,OOS,0,2017-01-09,2026-08-21,9.61,32.04,20.48,1.56,1.87,-35.5,0.9,699,72.7,57.4,24.59,-13.46,77,0.89,77.0,5.044510385756676,15.7,53.2,Healthcare,88.3,5.9,17.5,0.0,13.95,18.08
snapshot,+ 25% stop,IS,0,2009-09-07,2016-12-30,7.31,26.78,17.71,1.51,1.95,-24.7,1.08,466,63.7,57.3,23.38,-11.65,91,0.65,91.0,6.1002178649237475,12.1,41.3,Engineering Capital Goods,90.1,5.2,18.0,0.0,,
snapshot,+ 25% stop,OOS,0,2017-01-09,2026-08-21,9.61,30.92,20.09,1.54,1.81,-37.82,0.82,716,74.5,56.5,23.65,-13.49,77,0.72,77.0,4.913294797687861,12.0,55.5,Healthcare,87.5,6.6,17.3,0.0,13.95,16.96
snapshot,+ 30% stop,IS,0,2009-09-07,2016-12-30,7.31,27.04,17.89,1.51,1.94,-24.04,1.12,461,63.0,57.5,23.56,-11.49,92,0.66,92.0,6.415929203539823,11.9,45.5,Engineering Capital Goods,90.7,3.7,18.1,0.0,,
snapshot,+ 30% stop,OOS,0,2017-01-09,2026-08-21,9.61,31.81,20.28,1.57,1.88,-35.39,0.9,707,73.5,57.0,24.72,-13.62,77,0.88,77.0,5.139500734214391,16.6,56.1,Healthcare,87.8,6.1,17.4,0.0,13.95,17.86
snapshot,+ sector cap 4,IS,0,2009-09-07,2016-12-30,7.31,23.5,18.58,1.26,1.61,-26.51,0.89,507,69.3,56.7,23.37,-12.36,91,0.62,91.0,6.570841889117044,9.1,29.7,Software Services,98.2,0.1,19.9,0.0,,
snapshot,+ sector cap 4,OOS,0,2017-01-09,2026-08-21,9.61,33.44,21.67,1.54,1.83,-36.54,0.92,793,82.5,57.3,24.05,-13.06,77,0.65,77.0,5.045278137128072,16.9,25.2,Healthcare,97.4,0.0,19.9,0.0,13.95,19.49
snapshot,+ stage-age 21 too,IS,21,2009-09-07,2016-12-30,7.31,26.32,16.09,1.64,2.07,-29.22,0.9,358,49.0,60.9,25.07,-12.97,105,1.42,105.0,6.232294617563739,11.5,47.1,Engineering Capital Goods,80.4,14.0,15.2,0.0,,
snapshot,+ stage-age 21 too,OOS,21,2017-01-09,2026-08-21,9.61,24.03,17.62,1.36,1.64,-33.23,0.72,499,51.9,57.1,26.48,-13.11,84,1.24,84.0,5.154639175257731,14.1,57.3,Healthcare,74.2,22.1,13.4,0.0,13.95,10.08
