date,top_n,in_panel,missing,missing_pct
2005-01-03,250,110,140,56.0
2005-02-01,250,110,140,56.0
2005-03-01,250,231,19,7.6
2005-04-01,250,231,19,7.6
2005-05-02,250,233,17,6.8
2005-06-01,250,230,20,8.0
2005-07-01,250,226,24,9.6
2005-08-01,250,226,24,9.6
2005-09-01,250,229,21,8.4
2005-10-03,250,226,24,9.6
2005-11-01,250,230,20,8.0
2005-12-01,250,232,18,7.2
2006-01-02,250,232,18,7.2
2006-02-01,250,230,20,8.0
2006-03-01,250,227,23,9.2
2006-04-03,250,225,25,10.0
2006-05-02,250,230,20,8.0
2006-06-01,250,233,17,6.8
2006-07-03,250,234,16,6.4
2006-08-01,250,236,14,5.6
2006-09-01,250,238,12,4.8
2006-10-03,250,242,8,3.2
2006-11-01,250,241,9,3.6
2006-12-01,250,235,15,6.0
2007-01-02,250,230,20,8.0
2007-02-01,250,231,19,7.6
2007-03-01,250,230,20,8.0
2007-04-02,250,229,21,8.4
2007-05-03,250,233,17,6.8
2007-06-01,250,234,16,6.4
2007-07-02,250,236,14,5.6
2007-08-01,250,237,13,5.2
2007-09-03,250,240,10,4.0
2007-10-01,250,236,14,5.6
2007-11-01,250,235,15,6.0
2007-12-03,250,237,13,5.2
2008-01-01,250,242,8,3.2
2008-02-01,250,242,8,3.2
2008-03-03,250,243,7,2.8
2008-04-01,250,244,6,2.4
2008-05-02,250,239,11,4.4
2008-06-02,250,237,13,5.2
2008-07-01,250,237,13,5.2
2008-08-01,250,234,16,6.4
2008-09-01,250,235,15,6.0
2008-10-01,250,233,17,6.8
2008-11-03,250,233,17,6.8
2008-12-01,250,234,16,6.4
2009-01-01,250,238,12,4.8
2009-02-02,250,239,11,4.4
2009-03-02,250,236,14,5.6
2009-04-01,250,236,14,5.6
2009-05-04,250,236,14,5.6
2009-06-01,250,236,14,5.6
2009-07-01,250,237,13,5.2
2009-08-03,250,240,10,4.0
2009-09-01,250,239,11,4.4
2009-10-01,250,238,12,4.8
2009-11-03,250,240,10,4.0
2009-12-01,250,243,7,2.8
2010-01-04,250,242,8,3.2
2010-02-01,250,239,11,4.4
2010-03-02,250,234,16,6.4
2010-04-01,250,238,12,4.8
2010-05-03,250,237,13,5.2
2010-06-01,250,234,16,6.4
2010-07-01,250,236,14,5.6
2010-08-02,250,238,12,4.8
2010-09-01,250,238,12,4.8
2010-10-01,250,238,12,4.8
2010-11-01,250,239,11,4.4
2010-12-01,250,239,11,4.4
2011-01-03,250,239,11,4.4
2011-02-01,250,238,12,4.8
2011-03-01,250,237,13,5.2
2011-04-01,250,239,11,4.4
2011-05-02,250,237,13,5.2
2011-06-01,250,236,14,5.6
2011-07-01,250,236,14,5.6
2011-08-01,250,239,11,4.4
2011-09-02,250,242,8,3.2
2011-10-03,250,240,10,4.0
2011-11-01,250,241,9,3.6
2011-12-01,250,239,11,4.4
2012-01-02,250,239,11,4.4
2012-02-01,250,242,8,3.2
2012-03-01,250,242,8,3.2
2012-04-02,250,242,8,3.2
2012-05-02,250,242,8,3.2
2012-06-01,250,244,6,2.4
